fold	role	shape_class	name	m	n	k	kernel	stride	measured_us
3	training	1x1|1x1|400|4|16|16|4|20|20|4|4	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv	400	4	16	1x1	1x1	20.867486
3	training	1x1|1x1|400|80|80|80|80|20|20|0|4	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv	400	80	80	1x1	1x1	119.498143
3	training	1x1|1x1|400|80|80|80|80|20|20|0|4	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv	400	80	80	1x1	1x1	123.888657
4	training	3x3|2x2|25600|32|144|16|32|160|160|0|4	/model.1/conv/Conv	25600	32	144	3x3	2x2	4358.087471
4	training	1x1|1x1|25600|32|32|32|32|160|160|0|4	/model.2/cv1/conv/Conv	25600	32	32	1x1	1x1	2607.275586
4	training	3x3|1x1|25600|8|144|16|8|160|160|8|4	/model.2/m.0/cv1/conv/Conv	25600	8	144	3x3	1x1	2362.384014
4	training	1x1|1x1|25600|64|48|48|64|160|160|0|4	/model.2/cv2/conv/Conv	25600	64	48	1x1	1x1	6857.8008
4	training	3x3|2x2|6400|64|576|64|64|80|80|0|4	/model.3/conv/Conv	6400	64	576	3x3	2x2	4499.0632
4	training	1x1|1x1|6400|64|64|64|64|80|80|0|4	/model.4/cv1/conv/Conv	6400	64	64	1x1	1x1	1773.214429
4	training	3x3|1x1|6400|16|288|32|16|80|80|0|4	/model.4/m.0/cv1/conv/Conv	6400	16	288	3x3	1x1	1273.9485
4	training	3x3|1x1|6400|32|144|16|32|80|80|0|4	/model.4/m.0/cv2/conv/Conv	6400	32	144	3x3	1x1	1082.2414
4	training	1x1|1x1|6400|128|96|96|128|80|80|0|4	/model.4/cv2/conv/Conv	6400	128	96	1x1	1x1	3540.388914
4	training	1x1|1x1|400|256|256|256|256|20|20|0|4	/model.10/cv1/conv/Conv	400	256	256	1x1	1x1	611.1573
4	training	1x1|1x1|400|256|128|128|256|20|20|0|4	/model.10/m/m.0/attn/qkv/conv/Conv	400	256	128	1x1	1x1	431.8052
4	training	1x1|1x1|400|256|128|128|256|20|20|0|4	/model.10/m/m.0/ffn/ffn.0/conv/Conv	400	256	128	1x1	1x1	502.646771
4	training	1x1|1x1|400|128|256|256|128|20|20|0|4	/model.10/m/m.0/ffn/ffn.1/conv/Conv	400	128	256	1x1	1x1	416.762729
4	training	1x1|1x1|400|256|256|256|256|20|20|0|4	/model.10/cv2/conv/Conv	400	256	256	1x1	1x1	605.536443
4	training	1x1|1x1|1600|128|384|384|128|40|40|0|4	/model.13/cv1/conv/Conv	1600	128	384	1x1	1x1	2055.464643
4	training	1x1|1x1|1600|32|64|64|32|40|40|0|4	/model.13/m.0/cv1/conv/Conv	1600	32	64	1x1	1x1	238.223671
4	training	1x1|1x1|1600|32|64|64|32|40|40|0|4	/model.13/m.0/cv2/conv/Conv	1600	32	64	1x1	1x1	195.549986
4	training	3x3|1x1|1600|32|288|32|32|40|40|0|4	/model.13/m.0/m/m.0/cv1/conv/Conv	1600	32	288	3x3	1x1	478.355614
4	training	3x3|1x1|1600|32|288|32|32|40|40|0|4	/model.13/m.0/m/m.0/cv2/conv/Conv	1600	32	288	3x3	1x1	400.820271
4	training	3x3|1x1|1600|32|288|32|32|40|40|0|4	/model.13/m.0/m/m.1/cv1/conv/Conv	1600	32	288	3x3	1x1	409.3912
