operation_index	kind	scope	name	mean_us	p95_us	samples	implementation	confidence
168	conv_dense	full_executor	/model.22/cv1/conv/Conv	786.678000	828.566150	70	stage54-selected-explicit-or-measured	70 complete profiled observations
169	lut1	full_executor	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0_QuantizeLinear	19.125786	20.998250	70	stage54-selected-explicit-or-measured	70 complete profiled observations
170	lut1	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul_output_0_QuantizeLinear	43.127786	50.081700	70	stage54-selected-explicit-or-measured	70 complete profiled observations
171	split	full_executor	/model.22/Split	25.742457	26.225150	70	stage54-selected-explicit-or-measured	70 complete profiled observations
172	conv_dense	full_executor	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv	66.989243	71.273550	70	stage54-selected-explicit-or-measured	70 complete profiled observations
173	conv_grouped	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv	442.366514	480.755900	70	stage54-selected-explicit-or-measured	70 complete profiled observations
174	conv_dense	full_executor	/model.22/m.0/m.0.0/cv1/conv/Conv	590.955943	647.337250	70	stage54-selected-explicit-or-measured	70 complete profiled observations
175	lut1	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul_output_0_QuantizeLinear	47.254000	51.417300	70	stage54-selected-explicit-or-measured	70 complete profiled observations
176	lut1	full_executor	/model.22/m.0/m.0.0/cv1/act/Mul_output_0_QuantizeLinear	13.244100	13.939550	70	stage54-selected-explicit-or-measured	70 complete profiled observations
177	conv_dense	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv	436.515357	540.390750	70	stage54-selected-explicit-or-measured	70 complete profiled observations
178	conv_dense	full_executor	/model.22/m.0/m.0.0/cv2/conv/Conv	555.374143	604.564000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
179	lut1	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0_QuantizeLinear	44.862957	50.729800	70	stage54-selected-explicit-or-measured	70 complete profiled observations
180	lut2	full_executor	/model.22/m.0/m.0.0/Add_output_0_QuantizeLinear	205.268543	208.803750	70	stage54-selected-explicit-or-measured	70 complete profiled observations
181	conv_dense	full_executor	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv	440.084986	479.812850	70	stage54-selected-explicit-or-measured	70 complete profiled observations
182	conv_dense	full_executor	/model.22/m.0/m.0.1/attn/qkv/conv/Conv	467.879886	490.479700	70	stage54-selected-explicit-or-measured	70 complete profiled observations
183	split	full_executor	/model.22/m.0/m.0.1/attn/Split	228.238443	231.735300	70	stage54-selected-explicit-or-measured	70 complete profiled observations
184	split	full_executor	/model.22/m.0/m.0.1/attn/Split	454.839286	456.029000	70	stage54-selected-explicit-or-measured	70 complete profiled observations
185	reshape_split_transpose	full_executor	/model.22/m.0/m.0.1/attn/Transpose	225.705643	224.653750	70	stage54-selected-explicit-or-measured	70 complete profiled observations
186	reshape	full_executor	/model.22/m.0/m.0.1/attn/Reshape_2	26.214571	30.896350	70	stage54-selected-explicit-or-measured	70 complete profiled observations
187	matmul	full_executor	/model.22/m.0/m.0.1/attn/MatMul	3064.235729	3081.486400	70	stage54-selected-explicit-or-measured	70 complete profiled observations
188	conv_grouped	full_executor	/model.22/m.0/m.0.1/attn/pe/conv/Conv	5210.736886	5275.601500	70	stage54-selected-explicit-or-measured	70 complete profiled observations
189	softmax_transpose	full_executor	/model.22/m.0/m.0.1/attn/Transpose_1	4004.564629	4054.689200	70	stage54-selected-explicit-or-measured	70 complete profiled observations
