surface	repeat	run	wall_us	process_cpu_us	input_wrap_us	ort_run_us	output_copy_us
matched_b120_ort_cpu0_3_intra4	2	7	456555.684	1823859.453	10.333	456228.968	271.673
matched_b120_ort_cpu0_3_intra4	2	8	457986.592	1837659.868	9.375	457667.209	266.09
matched_b120_ort_cpu0_3_intra4	2	9	459310.373	1838665.161	9.834	458970.614	289.548
matched_b120_ort_cpu0_3_intra4	2	10	454838.769	1810666.492	11.042	454493.677	286.715
matched_b120_ort_cpu0_3_intra4	2	11	457517.206	1836721.452	9.708	457177.615	284.048
matched_b120_ort_cpu0_3_intra4	2	12	455538.701	1823315.244	10.334	455208.194	281.465
matched_b120_ort_cpu0_3_intra4	2	13	454788.351	1810503.367	9.875	454460.26	271.215
matched_b120_ort_cpu0_3_intra4	2	14	458185.388	1837533.742	9.459	457864.797	267.965
matched_b120_ort_cpu0_3_intra4	2	15	455021.481	1822568.161	9.25	454685.307	286.632
matched_b120_ort_cpu0_3_intra4	2	16	457093.612	1824799.493	10.042	456772.772	267.006
matched_b120_ort_cpu0_3_intra4	2	17	455373.948	1822785.451	9.792	455060.524	264.048
matched_b120_ort_cpu0_3_intra4	2	18	459306.33	1838990.493	8.792	458984.698	274.798
matched_b120_ort_cpu0_3_intra4	2	19	456936.276	1824281.41	10.542	456610.976	273.173
matched_b120_ort_cpu0_3_intra4	2	20	458929.779	1838363.537	9.334	458603.897	279.132
matched_b120_ort_cpu0_3_intra4	2	21	456130.799	1823919.286	9.708	455759.624	319.632
matched_b120_ort_cpu0_3_intra4	2	22	459463.583	1838981.286	10.709	459071.658	343.841
matched_b120_ort_cpu0_3_intra4	2	23	457676.334	1823328.243	10.5	457362.285	262.423
matched_b120_ort_cpu0_3_intra4	2	24	455999.962	1822859.701	8.583	455674.58	272.923
matched_b120_ort_cpu0_3_intra4	2	25	456746.979	1824340.908	10.333	456424.264	266.298
matched_b120_ort_cpu0_3_intra4	2	26	457050.82	1824844.787	10.542	456551.766	427.135
matched_b120_ort_cpu0_3_intra4	2	27	487448.522	1951043.49	9.375	487121.848	270.798
matched_b120_ort_cpu0_3_intra4	2	28	491495.616	1966732.701	9.375	491150.317	292.007
matched_b120_ort_cpu0_3_intra4	2	29	478145.099	1916268.826	10.417	477819.217	278.756
matched_b120_ort_cpu0_3_intra4	2	30	473961.877	1889591.286	9.542	473626.12	276.798
matched_b120_ort_cpu0_3_intra4	2	31	474306.635	1901731.7	10.876	473979.335	276.548
matched_b120_ort_cpu0_3_intra4	2	32	475003.193	1902504.787	10.709	474421.179	462.844
matched_b120_ort_cpu0_3_intra4	2	33	469851.365	1873126.202	22.459	469513.108	272.131
matched_b120_ort_cpu0_3_intra4	2	34	473985.794	1889734.16	10.251	473663.87	265.547
matched_b120_ort_cpu0_3_intra4	2	35	473159.234	1900623.912	9.375	472841.893	268.506
matched_b120_ort_cpu0_3_intra4	2	36	464621.286	1856365.283	9.209	464299.57	266.089
matched_b120_ort_cpu0_3_intra4	2	37	456278.968	1823949.952	10.125	455950.919	276.839
matched_b120_ort_cpu0_3_intra4	2	38	456768.896	1824280.619	9.042	456435.263	276.506
matched_b120_ort_cpu0_3_intra4	2	39	454944.812	1822416.913	9.333	454607.471	284.465
matched_b120_ort_cpu0_3_intra4	2	40	458762.026	1838320.117	10.875	458426.476	287.048
matched_b120_ort_cpu0_3_intra4	2	41	455941.96	1823168.535	9.25	455585.452	307.215
matched_b120_ort_cpu0_3_intra4	2	42	456674.143	1823682.242	10.584	456343.594	282.34
matched_b120_ort_cpu0_3_intra4	2	43	455235.736	1822959.827	11.375	454827.06	355.883
matched_b120_ort_cpu0_3_intra4	2	44	460194.058	1839574.409	11.584	459862.133	283.424
matched_b120_ort_cpu0_3_intra4	2	45	455318.571	1810947.994	10.292	454993.271	269.215
matched_b120_ort_cpu0_3_intra4	2	46	458640.272	1838394.202	9.708	458314.015	270.381
matched_b120_ort_cpu0_3_intra4	2	47	457716.918	1837377.157	10.251	457347.95	323.341
matched_b120_ort_cpu0_3_intra4	2	48	457953.423	1825674.16	10.209	457641.874	256.631
matched_b120_ort_cpu0_3_intra4	2	49	455440.657	1823032.953	8.792	455128.982	264.132
matched_b120_ort_cpu0_3_intra4	2	50	456309.093	1823608.078	10.167	455991.836	265.173
matched_b120_ort_cpu0_3_intra4	2	51	456403.846	1824019.745	9.459	456080.213	266.839
matched_b120_ort_cpu0_3_intra4	2	52	454570.636	1822331.784	10.541	454244.838	279.089
matched_b120_ort_cpu0_3_intra4	2	53	459426.332	1839061.616	8.875	459022.114	354.133
matched_b120_ort_cpu0_3_intra4	2	54	457263.24	1824876.535	11.167	456938.482	270.965
matched_b120_ort_cpu0_3_intra4	2	55	454990.521	1822944.202	9.625	454660.513	283.757
matched_b120_ort_cpu0_3_intra4	2	56	455734.955	1822665.409	9.875	455344.154	344.3
matched_b120_ort_cpu0_3_intra4	2	57	462869.536	1842289.743	10.376	462541.32	269.673
matched_b120_ort_cpu0_3_intra4	2	58	455729.954	1823415.116	9.708	455396.614	275.715
matched_b120_ort_cpu0_3_intra4	2	59	458551.52	1837381.159	9.75	458237.263	264.922
matched_b120_ort_cpu0_3_intra4	2	60	458090.967	1825378.784	9.875	457773.21	261.84
matched_b120_ort_cpu0_3_intra4	2	61	457077.611	1836593.824	9.834	456743.394	286.34
matched_b120_ort_cpu0_3_intra4	2	62	457773.544	1825406.076	9.292	457457.119	261.59
matched_b120_ort_cpu0_3_intra4	2	63	459393.081	1838904.954	9.416	459082.032	262.048
matched_b120_ort_cpu0_3_intra4	2	64	456002.294	1823890.076	9.376	455666.703	280.589
matched_b120_ort_cpu0_3_intra4	2	65	455866.708	1823263.953	9.458	455551.7	266.548
matched_b120_ort_cpu0_3_intra4	2	66	459231.786	1838813.201	8.917	458908.861	274.923
matched_b120_ort_cpu0_3_intra4	2	67	455908.083	1823270.616	10.001	455566.742	295.257
matched_b120_ort_cpu0_3_intra4	2	68	458967.78	1826450.328	10.334	458648.48	262.923
matched_b120_ort_cpu0_3_intra4	2	69	456413.095	1835789.661	9.042	456024.17	343.383
matched_b120_ort_cpu0_3_intra4	2	70	457912.505	1825665.033	10.709	457583.08	272.673
matched_b120_ort_cpu0_3_intra4	2	71	455985.46	1822983.539	10.0	455653.286	276.423
matched_b120_ort_cpu0_3_intra4	2	72	456826.938	1822967.412	10.625	456506.764	264.965
matched_b120_ort_cpu0_3_intra4	2	73	457148.237	1835993.91	10.042	456774.478	270.381
matched_b120_ort_cpu0_3_intra4	2	74	456751.145	1823769.326	11.25	456418.97	283.007
matched_b120_ort_cpu0_3_intra4	2	75	460018.886	1839685.202	10.083	459694.796	276.715
matched_b120_ort_cpu0_3_intra4	2	76	456396.386	1823259.285	9.792	456086.17	260.757
matched_b120_ort_cpu0_3_intra4	2	77	455298.027	1823180.618	10.667	454935.31	313.883
matched_b120_ort_cpu0_3_intra4	2	78	456403.511	1823624.992	9.5	456081.337	273.965
matched_b120_ort_cpu0_3_intra4	2	79	461148.621	1840933.825	9.791	460821.864	276.048
matched_b120_ort_cpu0_3_intra4	2	80	456323.593	1823805.369	11.0	455996.794	268.548
matched_b120_ort_cpu0_3_intra4	2	81	458508.851	1837595.995	9.292	458178.635	279.549
matched_b120_ort_cpu0_3_intra4	2	82	456589.933	1824081.201	9.292	456267.341	270.798
matched_b120_ort_cpu0_3_intra4	2	83	454677.679	1822293.535	10.333	454269.879	357.091
matched_b120_ort_cpu0_3_intra4	2	84	461561.588	1841307.368	10.626	461234.331	270.464
matched_b120_ort_cpu0_3_intra4	2	85	458313.18	1837641.952	9.709	457947.213	317.757
matched_b120_ort_cpu0_3_intra4	2	86	454317.087	1810015.952	9.833	453989.414	270.839
