arm	operation_index	kind	scope	name	samples	mean_us	median_us	p95_us	min_us	max_us
direct	130	lut1	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul_output_0_QuantizeLinear	140	186.029171	181.171000	232.786700	159.944000	250.686000
direct	131	concat	full_executor	/model.18/Concat	140	130.852043	128.134500	164.956150	116.115000	185.942000
direct	132	conv_dense	full_executor	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv	140	1141.237750	1128.772500	1170.809150	1116.188000	1257.675000
direct	133	conv_dense	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	140	4219.992529	4210.138500	4246.380600	4156.406000	5475.901000
direct	134	conv_dense	full_executor	/model.19/cv1/conv/Conv	140	2025.275064	2013.233000	2051.087300	1973.990000	3050.879000
direct	135	lut1	full_executor	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0_QuantizeLinear	140	55.683329	54.995000	58.931550	49.579000	80.201000
direct	136	lut1	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul_output_0_QuantizeLinear	140	302.167057	293.243500	381.709850	247.810000	438.420000
direct	137	split	full_executor	/model.19/Split	140	49.755807	47.579500	51.141750	44.621000	161.068000
direct	138	conv_dense	full_executor	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	140	243.829814	242.602500	278.516000	230.605000	319.803000
direct	139	conv_grouped	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv	140	2887.270829	2886.057000	2917.492450	2834.994000	3185.200000
direct	140	conv_dense	full_executor	/model.19/m.0/cv1/conv/Conv	140	446.613679	444.625500	480.700150	409.337000	497.289000
direct	141	conv_dense	full_executor	/model.19/m.0/cv2/conv/Conv	140	401.707964	399.171000	432.679700	386.255000	502.787000
direct	142	lut1	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul_output_0_QuantizeLinear	140	356.174871	341.844000	458.271050	248.644000	578.865000
direct	143	lut1	full_executor	/model.19/m.0/cv1/act/Mul_output_0_QuantizeLinear	140	30.923029	30.747000	33.132400	26.914000	80.743000
direct	144	conv_dense	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	140	4214.925264	4198.526000	4245.668250	4160.743000	5933.682000
direct	145	conv_dense	full_executor	/model.19/m.0/m/m.0/cv1/conv/Conv	140	662.559736	652.961500	695.097350	641.399000	1019.910000
direct	146	lut1	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul_output_0_QuantizeLinear	140	326.536264	319.950000	408.841800	225.354000	455.335000
direct	147	lut1	full_executor	/model.19/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear	140	30.989436	30.747500	33.705050	27.373000	48.329000
direct	148	conv_dense	full_executor	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv	140	4185.843671	4176.699500	4234.747950	4122.426000	4691.459000
direct	149	conv_dense	full_executor	/model.19/m.0/m/m.0/cv2/conv/Conv	140	660.319436	653.021500	694.025000	643.692000	778.970000
