repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
0	17	133896	2329.11	20062.8	67489.6	15812.3	11310.5	7493.08	4115.14	2544.4	2643.15	655460	0	4	1	0	0xd43f5e018b415631
0	18	133547	2278.82	20259.4	67021.7	15849.8	11372.5	7561.25	3935.06	2491.15	2685.48	662752	0	2	1	0	0xd43f5e018b415631
0	19	134077	2489.49	20260.6	67230.4	15751.1	11381.5	7563.16	4164.39	2495.98	2651.19	656223	0	1	1	0	0xd43f5e018b415631
0	20	133779	2247.78	20285.4	67451.4	15678.9	11416	7454	3962.89	2500.15	2690.36	662658	2	0	1	0	0xd43f5e018b415631
0	21	134122	2232.9	20139.7	67550.1	15826.2	11420.3	7690.66	4011.73	2504.94	2655.19	655078	0	0	1	0	0xd43f5e018b415631
0	22	133486	2182.36	20301.9	67355.3	15676.3	11434.8	7435.58	3817.27	2505.9	2682.73	660839	0	0	1	0	0xd43f5e018b415631
0	23	134594	2547.53	20143.7	67557.7	15969.4	11405.8	7529.62	4181.56	2497.11	2668.78	670888	0	4	1	0	0xd43f5e018b415631
0	24	133357	2189.45	20095.9	66960.8	15813.4	11385.6	7778.41	3841.27	2515.15	2681.69	658334	0	6	1	0	0xd43f5e018b415631
0	25	134003	2240.61	20113.8	67414.1	15844	11342	7635.33	4084.77	2559.53	2674.73	668818	0	2	1	0	0xd43f5e018b415631
0	26	133644	2201.15	20236.5	67471.9	15751.5	11369.5	7413.29	3892.85	2541.53	2673.23	659580	0	1	1	0	0xd43f5e018b415631
0	27	133846	2271.49	20204.9	67399.1	15952.5	11354.1	7438.83	3963.77	2496.53	2670.73	668108	0	0	1	0	0xd43f5e018b415631
0	28	134016	2552.86	20127.4	67266.5	15769.3	11322.8	7619.2	4031.31	2564.03	2669.94	660045	0	0	1	0	0xd43f5e018b415631
