arm	operation_index	M	N	K	source_file	event	worker_samples	cycles_mean_per_worker	event_mean_per_worker	event_per_cycle	all_available	all_time_running
candidate	201	400	16	2304	shapes_itlb_read_miss.log	itlb_read_miss	4	4840906.000000	108.750000	0.000022465	1	1
candidate	201	400	16	2304	shapes_l1d_read_access.log	l1d_read_access	4	4817191.250000	797646.750000	0.165583368	1	1
candidate	201	400	16	2304	shapes_l1d_read_miss.log	l1d_read_miss	4	4792468.750000	7456.250000	0.001555827	1	1
candidate	201	400	16	2304	shapes_l1i_read_access.log	l1i_read_access	4	4833235.250000	2133459.250000	0.441414320	1	1
candidate	201	400	16	2304	shapes_l1i_read_miss.log	l1i_read_miss	4	4747247.000000	434.500000	0.000091527	1	1
candidate	206	400	80	256	shapes_backend_stalls.log	backend_stalls	4	1335887.250000	804285.500000	0.602060915	1	1
candidate	206	400	80	256	shapes_dtlb_read_miss.log	dtlb_read_miss	4	1341727.500000	6385.750000	0.004759349	1	1
candidate	206	400	80	256	shapes_dtlb_write_miss.log	dtlb_write_miss	4	1349568.000000	584.500000	0.000433102	1	1
candidate	206	400	80	256	shapes_frontend_stalls.log	frontend_stalls	4	1341862.750000	16583.250000	0.012358380	1	1
candidate	206	400	80	256	shapes_instructions.log	instructions	4	1376313.000000	613042.750000	0.445423933	1	1
candidate	206	400	80	256	shapes_itlb_read_miss.log	itlb_read_miss	4	1367237.500000	86.750000	0.000063449	1	1
candidate	206	400	80	256	shapes_l1d_read_access.log	l1d_read_access	4	1344635.500000	190383.500000	0.141587441	1	1
candidate	206	400	80	256	shapes_l1d_read_miss.log	l1d_read_miss	4	1323897.750000	5579.750000	0.004214638	1	1
candidate	206	400	80	256	shapes_l1i_read_access.log	l1i_read_access	4	1408177.000000	370389.250000	0.263027482	1	1
candidate	206	400	80	256	shapes_l1i_read_miss.log	l1i_read_miss	4	1345388.500000	392.000000	0.000291366	1	1
