block	cycle	position	arm	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
1	0	1	B	0	8	151977	2200.72	19552.7	69883.7	15794.3	20366.6	9020.26	3789.81	2524.4	8750.16	753960	0	3	1	0	0xd43f5e018b415631
1	0	1	B	0	9	151751	2182.8	19582.8	69674.1	15702.8	20374.9	8964.26	3939.78	2491.36	8742.95	753135	0	0	1	0	0xd43f5e018b415631
1	0	1	B	0	10	152927	2189.47	19531.6	69816.7	15689.2	20948.6	9049.59	4053.62	2632.25	8919.58	754277	0	2	1	0	0xd43f5e018b415631
1	0	1	B	0	11	152216	2255.8	19619.1	69683.1	15653.5	20715.9	8940.8	3924.49	2564.82	8766.24	749028	0	0	1	0	0xd43f5e018b415631
1	0	1	B	0	12	152932	2271.76	19606.1	69740.4	15724	21091.1	9109.05	4069.79	2496.94	8726.99	763881	1	0	1	0	0xd43f5e018b415631
1	0	1	B	0	13	154320	2195.13	19515.5	70458.7	15595.9	21311.3	9979.57	3889.19	2535.9	8744.7	760672	0	0	1	0	0xd43f5e018b415631
1	0	1	B	0	14	152617	2262.8	19540.6	70159.5	15735.3	20596.5	9106.64	3860.36	2510.15	8753.49	748162	0	2	1	0	0xd43f5e018b415631
1	0	1	B	0	15	153052	2222.14	19671.3	69996.4	15903.7	20783.1	9138.06	3962.45	2533.15	8746.16	761251	1	2	1	0	0xd43f5e018b415631
1	0	1	B	0	16	152095	2187.38	19548	70083	15683.1	20539.9	8954.59	3782.36	2497.03	8723.74	755253	0	2	1	0	0xd43f5e018b415631
1	0	1	B	0	17	153593	2215.43	19687	70380.4	15877.2	20906.2	9019.26	4089.87	2576.57	8746.03	755604	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	18	152925	2255.14	19600.7	70098.3	15675.1	21145.1	8999.17	3762.85	2548.07	8748.82	763644	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	19	153194	2189.09	19996.3	70426.4	15840.5	20347.2	9037.09	3921.03	2501.19	8839.37	758642	0	5	1	0	0xd43f5e018b415631
1	0	1	B	0	20	153293	2271.85	19565.1	69836.9	15839.3	21325	9088.39	3992.99	2546.91	8728.99	753828	0	0	1	0	0xd43f5e018b415631
1	0	1	B	0	21	152986	2258.93	19587.7	69887.1	15717	21292.8	9006.09	4004.53	2491.53	8645.02	763279	0	3	1	0	0xd43f5e018b415631
1	0	1	B	0	22	152214	2210.84	19591.3	69570.6	15626.3	20986.6	8862.41	3984.03	2534.49	8752.95	757634	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	23	152029	2190.72	19515.3	69710.4	15688.3	20671.7	9037.09	3883.9	2501.32	8734.24	755706	1	3	1	0	0xd43f5e018b415631
1	0	1	B	0	24	151983	2175.3	19570.3	69553	15842	20559.4	8996.92	3968.99	2502.9	8717.15	754668	1	1	1	0	0xd43f5e018b415631
1	0	1	B	0	25	152941	2195.26	19528.7	70269.3	15675.9	20935.6	8949.25	4017.91	2534.98	8741.28	754874	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	26	152847	2256.26	19639.8	69982.2	15822.8	20725	9077.09	3949.2	2564.2	8739.66	750141	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	27	155121	2239.26	19503.4	72013.1	15667.2	20804.9	9508.79	4029.24	2526.86	8732.53	763603	0	2	1	0	0xd43f5e018b415631
1	0	1	B	0	28	153017	2259.05	19516.6	70211.5	15721	21130.2	8928.5	3893.32	2493.19	8769.91	764124	0	3	1	0	0xd43f5e018b415631
1	0	1	B	0	29	152766	2196.26	19538.1	70008.6	15721.4	20749.3	9110.89	4045.95	2542.82	8755.28	758923	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	30	152034	2208.59	19700.6	69900.3	15699.3	20301.4	8962.21	3895.07	2508.15	8764.74	754328	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	31	152920	2195.88	19504.7	70102.5	15803.3	20948.4	8899.87	3986.32	2548.36	8835.37	754118	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	32	152956	2257.76	19464.9	69978.2	15703.5	21224.2	9085.84	3809.27	2582.74	8752.91	749429	0	3	1	0	0xd43f5e018b415631
1	0	1	B	0	33	152311	2212.88	19574.1	69658.2	15784.9	21008	9007.25	3836.19	2529.66	8603.06	760273	0	0	1	0	0xd43f5e018b415631
