block	cycle	position	arm	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
0	0	0	A	0	80	150890	2198.34	19538.1	69600.1	15814.8	21033.8	7479.33	3875.78	2559.35	8697.92	741565	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	81	151711	2294.13	19616.9	70520.2	15813.1	20961.5	7374.91	3796.52	2544.02	8691.13	745397	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	82	152308	2243.63	19532.7	70496.1	16023.9	21195.4	7462.58	3975.53	2538.72	8745.3	746209	0	5	1	0	0xd43f5e018b415631
0	0	0	A	0	83	151130	2174.5	19555.7	69616.3	15790.5	21098.2	7583.84	4006.07	2539.85	8678.3	743053	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	84	151369	2251.67	19532.8	69719.8	15813.7	21231.8	7680.67	3814.23	2556.39	8676.71	745739	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	85	151384	2277.26	19497.8	69806.8	15730.5	21350.5	7558.84	3854.73	2535.68	8679.67	747380	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	86	151235	2266.42	19560.9	70058.8	15768.2	20728.7	7509.54	3965.36	2591.64	8694.88	748731	1	0	1	0	0xd43f5e018b415631
0	0	0	A	0	87	150227	2249.8	19707.8	69691.1	15667.4	20233.1	7394.33	4188.25	2504.22	8498.87	749861	0	3	1	0	0xd43f5e018b415631
0	0	0	A	0	88	150873	2178.09	19516.9	69530.2	15801.2	21035	7498.5	3929.82	2543.76	8745.8	740723	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	89	151483	2254.21	19619.5	69973.5	15793.8	21116.3	7577.63	3826.86	2573.19	8657.21	744857	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	90	151556	2248.75	19570.1	70015.4	15795.5	21300.9	7483.21	3860.11	2499.56	8690.88	745817	1	3	1	0	0xd43f5e018b415631
0	0	0	A	0	91	151619	2264.38	19623.6	70106.8	15796	21282.6	7393.71	3892.02	2488.81	8677.25	747010	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	92	150671	2242.96	19520.5	69883.8	15726.4	20623.8	7420.29	3900.4	2590.56	8671.13	746749	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	93	150468	2254.8	19441.5	70166.5	15766.6	20258.9	7457.87	3998.41	2520.01	8511.87	750888	0	1	1	0	0xd43f5e018b415631
0	0	0	A	0	94	151246	2183.34	19733.8	70147.2	15833	20689.1	7541.96	3840.57	2508.01	8675.75	740496	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	95	151192	2178.96	19442.2	69807.1	15707.9	21125.2	7623.92	3873.74	2676.1	8664.21	742388	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	96	155259	2235.25	21054.6	72026.4	15731.4	21274.1	7556.42	4033.95	2551.85	8707.59	764904	0	0	1	0	0xd43f5e018b415631
0	0	0	A	0	97	151845	2255.25	19662	70079.8	15855.4	21286.2	7499.29	3916.65	2519.43	8678.17	747273	0	3	1	0	0xd43f5e018b415631
0	0	0	A	0	98	150791	2247.5	19548.5	69710.7	15872.3	20693.9	7550.04	3824.07	2570.89	8680.3	746080	0	2	1	0	0xd43f5e018b415631
0	0	0	A	0	99	150270	2241.42	19568	69493.3	15639.6	20374.4	7465.5	4031.24	2525.68	8839.18	749492	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	0	163919	2246.17	19458.5	82881.3	15934.1	20799.1	7519.3	3755.73	2560.1	8676.05	812658	0	2	1	0	0xd43f5e018b415631
1	0	1	B	0	1	163810	2214.46	19623.8	82934.9	15660.6	20719.7	7594.13	3811.69	2504.8	8657.09	804499	0	2	1	0	0xd43f5e018b415631
1	0	1	B	0	2	164071	2239.17	19812.9	82729.4	15815.4	20571.5	7536.08	4132.74	2496.6	8648.5	804673	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	3	163543	2170.63	19431	82989.6	15721	20593.5	7448.62	3929.86	2505.39	8660.09	802767	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	4	163873	2197.21	19455	82906.5	15848.5	20735.6	7492.63	4008.9	2498.31	8640.88	803939	0	3	1	0	0xd43f5e018b415631
1	0	1	B	0	5	166547	2178.92	19404.5	83089.9	16086.1	22574.7	7706.51	3915.11	2821.61	8679.17	822227	0	0	1	0	0xd43f5e018b415631
1	0	1	B	0	6	164244	2239.63	19493.2	82746.7	15866.1	21063.1	7536.71	3983.99	2546.47	8676.25	808757	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	7	163799	2236.05	19478.9	82534.9	15769.8	21000	7445.54	3984.82	2539.72	8722.42	806456	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	8	163887	2234.46	19514.3	82991.5	15781	20876.3	7378.78	3833.31	2533.35	8655.29	806413	0	0	1	0	0xd43f5e018b415631
1	0	1	B	0	9	163775	2224.8	19538.2	82683.4	15772.1	20989.1	7309.66	3928.44	2539.22	8695.75	805801	0	2	1	0	0xd43f5e018b415631
1	0	1	B	0	10	163762	2230.42	19522.3	82573.8	15807.9	21032.4	7459.21	3846.78	2540.39	8655.5	805812	0	2	1	0	0xd43f5e018b415631
1	0	1	B	0	11	163969	2226.96	19599.7	83071.2	15719.5	20843.8	7377.66	3884.44	2504.55	8653.71	806127	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	12	163929	2233.13	19413.7	83155.4	15664.3	20770.9	7500.67	3918.78	2513.39	8666.67	805098	0	2	1	0	0xd43f5e018b415631
1	0	1	B	0	13	163594	2199.04	19519.7	82744.7	15781.5	20842.7	7365.17	3830.15	2507.97	8711.67	804402	0	0	1	0	0xd43f5e018b415631
1	0	1	B	0	14	163647	2230.92	19517.6	82774.9	15731.8	20849.9	7458.58	3773.77	2558.89	8662.25	804673	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	15	164039	2229.3	19477.6	83101.1	15776.3	20745.8	7610.21	3822.52	2538.72	8644.38	805603	0	2	1	0	0xd43f5e018b415631
1	0	1	B	0	16	163696	2220.13	19586.3	82646	15796.4	20738	7481.29	3998.7	2492.72	8646.21	804232	0	0	1	0	0xd43f5e018b415631
1	0	1	B	0	17	167069	2225.13	19495.6	84528.1	16750.2	20967.4	7763.72	4005.11	2551.64	8690.13	823849	1	2	1	0	0xd43f5e018b415631
1	0	1	B	0	18	164179	2222.63	19495	82589.4	15807.9	21034.7	7453.83	4222.91	2555.64	8704.84	807693	2	1	1	0	0xd43f5e018b415631
1	0	1	B	0	19	163792	2225	19480	82533.5	15713.9	20839.6	7516	4207.21	2536.35	8653.09	805896	0	0	1	0	0xd43f5e018b415631
1	0	1	B	0	20	164035	2218.96	19549.9	83054.6	15660.2	20796.9	7490.59	3925.49	2577.48	8670.38	805971	0	1	1	0	0xd43f5e018b415631
1	0	1	B	0	21	163367	2234.46	19445.7	82394.1	15688.3	20919.6	7496.59	3894.36	2545.93	8657.25	804204	0	2	1	0	0xd43f5e018b415631
1	0	1	B	0	22	163924	2324.92	19530.2	82664.5	15742.2	20878.3	7733.84	3764.73	2548.52	8648.88	806300	0	3	1	0	0xd43f5e018b415631
