graph_index	node_name	block	shape_class	macs	mapping_case_id	mapping_rate_gmacs	central_us	conservative_us	evidence
753	/model.19/m.0/cv1/conv/Conv	model.19	1x1_low_resolution	3276800	7	2.980455	1099.429450	1134.127661	fullshape_integrated_m12n16_w4
754	/model.19/m.0/cv2/conv/Conv	model.19	1x1_low_resolution	3276800	7	2.980455	1099.429450	1134.127661	fullshape_integrated_m12n16_w4
771	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	model.23	1x1_high_resolution	40960000	2	2.966017	13809.765757	13821.549001	fullshape_integrated_m12n16_w4
774	/model.19/m.0/m/m.0/cv1/conv/Conv	model.19	3x3_stride1	14745600	3	1.406489	10483.978190	10501.620873	fullshape_integrated_m12n16_w4
785	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv	model.23	1x1_high_resolution	40960000	2	2.966017	13809.765757	13821.549001	fullshape_integrated_m12n16_w4
788	/model.19/m.0/m/m.0/cv2/conv/Conv	model.19	3x3_stride1	14745600	3	1.406489	10483.978190	10501.620873	fullshape_integrated_m12n16_w4
798	/model.19/m.0/m/m.1/cv1/conv/Conv	model.19	3x3_stride1	14745600	3	1.406489	10483.978190	10501.620873	fullshape_integrated_m12n16_w4
805	/model.19/m.0/m/m.1/cv2/conv/Conv	model.19	3x3_stride1	14745600	3	1.406489	10483.978190	10501.620873	fullshape_integrated_m12n16_w4
814	/model.19/m.0/cv3/conv/Conv	model.19	1x1_low_resolution	6553600	7	2.980455	2198.858899	2268.255322	fullshape_integrated_m12n16_w4
822	/model.19/cv2/conv/Conv	model.19	1x1_low_resolution	39321600	7	2.980455	13193.153394	13609.531932	fullshape_integrated_m12n16_w4
829	/model.20/conv/Conv	model.20	3x3_stride2	58982400	5	13.351728	4417.585499	4448.442866	fullshape_integrated_m12n16_w4
830	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv	model.23	3x3_stride1	29491200	3	1.406489	20967.956379	21003.241746	fullshape_integrated_m12n16_w4
831	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv	model.23	grouped_or_depthwise_conv	1843200	-1	0.500000	3686.400000	5529.600000	conservative_unsupported_fallback
851	/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv	model.23	3x3_stride1	3686400	3	1.406489	2620.994547	2625.405218	fullshape_integrated_m12n16_w4
852	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv	model.23	1x1_low_resolution	16384000	7	2.980455	5497.147248	5670.638305	fullshape_integrated_m12n16_w4
853	/model.22/cv1/conv/Conv	model.22	1x1_low_resolution	39321600	6	8.341684	4713.868327	4799.703694	fullshape_integrated_m12n16_w4
872	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv	model.23	small_n_head_conv	102400	8	0.240191	426.327381	440.637654	fullshape_integrated_m12n16_w4
873	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv	model.23	grouped_or_depthwise_conv	1152000	-1	0.500000	2304.000000	3456.000000	conservative_unsupported_fallback
877	/model.22/m.0/m.0.0/cv1/conv/Conv	model.22	3x3_stride1	29491200	3	1.406489	20967.956379	21003.241746	fullshape_integrated_m12n16_w4
890	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv	model.23	1x1_low_resolution	10240000	7	2.980455	3435.717030	3544.148941	fullshape_integrated_m12n16_w4
893	/model.22/m.0/m.0.0/cv2/conv/Conv	model.22	3x3_stride1	29491200	3	1.406489	20967.956379	21003.241746	fullshape_integrated_m12n16_w4
904	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv	model.23	1x1_low_resolution	10240000	7	2.980455	3435.717030	3544.148941	fullshape_integrated_m12n16_w4
