fixture	fixture_kind	tensor_id	tensor_name	status	mismatches	max_abs_diff	custom_hash64	affinity_ok	first_mismatch_index	first_actual	first_expected
F5	canonical_image	11	/model.6/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	0	0	8515726679474521362	1	51200	-1	-1
F5	canonical_image	13	/model.6/m.0/Concat_output_0_QuantizeLinear_Output	0	0	0	7213062827727626653	1	102400	-1	-1
F5	canonical_image	15	/model.6/Concat_output_0_QuantizeLinear_Output	0	0	0	1843413895878054310	1	307200	-1	-1
F5	canonical_image	16	/model.6/cv2/act/Mul_output_0_QuantizeLinear_Output	0	0	0	17316505406047370927	1	204800	-1	-1
F5	canonical_image	17	/model.7/act/Mul_output_0_QuantizeLinear_Output	0	0	0	848941911878406593	1	102400	-1	-1
F5	canonical_image	19	/model.8/Split_output_1_QuantizeLinear_Output	0	0	0	14220440282335938048	1	51200	-1	-1
F5	canonical_image	20	/model.8/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	7123764898545612568	1	25600	-1	-1
F5	canonical_image	22	/model.8/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	5836600513281657312	1	25600	-1	-1
F5	canonical_image	23	/model.8/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	0	0	14822204542840782886	1	25600	-1	-1
F5	canonical_image	24	/model.8/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	0	0	0	2016876601837619358	1	25600	-1	-1
F5	canonical_image	25	/model.8/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	0	0	0	6704283406640858382	1	25600	-1	-1
F5	canonical_image	26	/model.8/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	0	0	0	9319795330043539692	1	25600	-1	-1
F5	canonical_image	28	/model.8/m.0/Concat_output_0_QuantizeLinear_Output	0	0	0	12548194029320805562	1	51200	-1	-1
F5	canonical_image	30	/model.8/Concat_output_0_QuantizeLinear_Output	0	0	0	2112093624691612689	1	153600	-1	-1
F5	canonical_image	31	/model.8/cv2/act/Mul_output_0_QuantizeLinear_Output	0	0	0	7470120197129659464	1	102400	-1	-1
