pair	metric	replicates	seed	draw_matrix_sha256	point_delta	bootstrap_mean	bootstrap_median	percentile_2_5	percentile_97_5	probability_gt_zero	probability_lt_zero
B2_EP-vs-B2_CPU	map75	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	0.0031114322801007455	0.0034597213859877416	0.0034207085553959737	-0.0053249165302837395	0.012413605113271681	0.7787	0.2213
B2_EP-vs-B2_CPU	ap_small	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0038839312679210813	-0.003014346405725663	-0.003072111398984237	-0.00922306137583832	0.003789071957453348	0.1758	0.8242
B2_EP-vs-B2_CPU	ap_medium	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	0.0034323115827675776	-0.0004610956273392711	-0.0005233178640735026	-0.0116594169929772	0.01047921675405989	0.4639	0.5361
B2_EP-vs-B2_CPU	ap_large	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.006843597158209369	-0.003979222108151886	-0.0038199999822441932	-0.016240559886324557	0.0078836408426469	0.2613	0.7387
B2_EP-vs-B2_CPU	ar1	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0025045418727593916	-0.0023268473082697166	-0.0019770323858689376	-0.012532432623302942	0.005601433391468796	0.3216	0.6784
B2_EP-vs-B2_CPU	ar10	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.003976967906047513	-0.00397140694578808	-0.003939313659040933	-0.010012493121128832	0.002028634098822612	0.0988	0.9012
B2_EP-vs-B2_CPU	ar100	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0031478745485742365	-0.0030238089166081494	-0.0029988060841376063	-0.008067157234191508	0.001888554427672274	0.1152	0.8848
B2_EP-vs-B2_CPU	ar_small	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	0.0007527269611017906	-0.001724212229053436	-0.0014023312214023476	-0.014276732370111128	0.009327085278843761	0.4152	0.5848
B2_EP-vs-B2_CPU	ar_medium	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	0.0019082792441028618	0.0013341951602427154	0.0014033140980375114	-0.006725701891141266	0.00903233263484329	0.643	0.357
B2_EP-vs-B2_CPU	ar_large	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-0.0033827443840988014	-0.00574081917631885	-0.005417907958787438	-0.024125280335189864	0.01017979575037146	0.292	0.708
B2_EP-vs-B2_CPU	prediction_count	10000	65008	2c35138af6b27b417b0d7661dd65138e2e9268da64df3ebddc295a8c4ecab5db	-60.0	-59.93	-60.0	-341.0	225.0	0.3431	0.6547
