selection_group	image_id	model	score_threshold	cpu_above_ep_below	ep_above_cpu_below	cpu_above_count	ep_above_count
matched-control	104344	B2	0.01	0	1	7	8
matched-control	104344	B2	0.05	0	0	5	5
matched-control	104344	B2	0.25	0	0	4	4
matched-control	104344	B2	0.5	0	0	4	4
matched-control	104344	A1	0.001	3	11	31	39
matched-control	104344	A1	0.01	0	1	7	8
matched-control	104344	A1	0.05	0	0	5	5
matched-control	104344	A1	0.25	0	1	4	5
matched-control	104344	A1	0.5	0	0	4	4
matched-control	343534	B2	0.001	24	24	144	143
matched-control	343534	B2	0.01	6	2	25	20
matched-control	343534	B2	0.05	0	0	9	9
matched-control	343534	B2	0.25	0	1	5	6
matched-control	343534	B2	0.5	0	0	5	5
matched-control	343534	A1	0.001	15	24	134	143
matched-control	343534	A1	0.01	5	2	23	20
matched-control	343534	A1	0.05	0	0	9	9
matched-control	343534	A1	0.25	1	1	6	6
matched-control	343534	A1	0.5	0	0	5	5
matched-control	412167	B2	0.001	5	4	9	8
matched-control	412167	B2	0.01	2	2	4	4
matched-control	412167	B2	0.05	2	2	3	3
matched-control	412167	B2	0.25	2	2	3	3
matched-control	412167	B2	0.5	2	2	3	3
matched-control	412167	A1	0.001	0	1	7	8
matched-control	412167	A1	0.01	0	0	4	4
matched-control	412167	A1	0.05	0	0	3	3
matched-control	412167	A1	0.25	0	0	3	3
matched-control	412167	A1	0.5	0	0	3	3
matched-control	371029	B2	0.001	2	2	6	6
matched-control	371029	B2	0.01	2	2	3	3
matched-control	371029	B2	0.05	2	2	3	3
matched-control	371029	B2	0.25	2	2	3	3
matched-control	371029	B2	0.5	2	2	3	3
matched-control	371029	A1	0.001	2	2	5	5
matched-control	371029	A1	0.01	2	2	3	3
matched-control	371029	A1	0.05	2	2	3	3
matched-control	371029	A1	0.25	2	2	3	3
matched-control	371029	A1	0.5	2	2	3	3
matched-control	38204	B2	0.001	14	11	49	45
matched-control	38204	B2	0.01	4	3	12	11
matched-control	38204	B2	0.05	1	2	3	5
matched-control	38204	B2	0.25	1	0	2	2
matched-control	38204	B2	0.5	0	0	1	2
matched-control	38204	A1	0.001	17	12	47	42
matched-control	38204	A1	0.01	4	4	11	11
matched-control	38204	A1	0.05	1	2	3	4
matched-control	38204	A1	0.25	2	1	3	2
matched-control	38204	A1	0.5	0	1	1	2
matched-control	72463	B2	0.001	25	11	82	70
matched-control	72463	B2	0.01	4	3	14	13
matched-control	72463	B2	0.05	2	2	7	7
matched-control	72463	B2	0.25	1	1	3	3
matched-control	72463	B2	0.5	2	1	3	2
matched-control	72463	A1	0.001	11	16	65	72
matched-control	72463	A1	0.01	1	0	13	12
matched-control	72463	A1	0.05	2	1	7	6
matched-control	72463	A1	0.25	0	0	3	3
matched-control	72463	A1	0.5	0	0	2	2
matched-control	139914	B2	0.001	13	15	68	71
matched-control	139914	B2	0.01	6	5	19	18
matched-control	139914	B2	0.05	3	1	9	7
matched-control	139914	B2	0.25	0	0	2	2
matched-control	139914	B2	0.5	0	0	1	1
matched-control	139914	A1	0.001	10	17	62	70
matched-control	139914	A1	0.01	4	4	17	19
matched-control	139914	A1	0.05	2	1	8	7
matched-control	139914	A1	0.25	0	1	2	3
matched-control	139914	A1	0.5	0	0	1	1
matched-control	59483	B2	0.001	32	25	175	161
matched-control	59483	B2	0.01	8	8	35	34
matched-control	59483	B2	0.05	2	3	13	13
matched-control	59483	B2	0.25	2	2	2	2
matched-control	59483	B2	0.5	2	2	2	2
matched-control	59483	A1	0.001	36	29	163	155
matched-control	59483	A1	0.01	9	10	32	34
matched-control	59483	A1	0.05	3	3	12	13
matched-control	59483	A1	0.25	2	1	2	2
matched-control	59483	A1	0.5	2	1	2	2
matched-control	277563	B2	0.001	17	16	95	93
matched-control	277563	B2	0.01	5	4	16	16
matched-control	277563	B2	0.05	4	3	7	7
matched-control	277563	B2	0.25	1	1	2	2
matched-control	277563	B2	0.5	1	0	1	0
matched-control	277563	A1	0.001	12	14	87	86
matched-control	277563	A1	0.01	6	2	18	15
matched-control	277563	A1	0.05	3	2	7	7
matched-control	277563	A1	0.25	2	1	3	2
matched-control	277563	A1	0.5	1	1	1	1
matched-control	37566	B2	0.001	12	8	41	36
matched-control	37566	B2	0.01	1	1	5	5
matched-control	37566	B2	0.05	1	1	4	4
matched-control	37566	B2	0.25	1	0	3	2
matched-control	37566	B2	0.5	1	0	3	2
matched-control	37566	A1	0.001	13	7	37	29
matched-control	37566	A1	0.01	0	1	5	5
matched-control	37566	A1	0.05	0	0	5	4
matched-control	37566	A1	0.25	0	0	3	2
matched-control	37566	A1	0.5	0	1	2	2
matched-control	46345	B2	0.001	21	16	93	88
matched-control	46345	B2	0.01	5	4	18	16
matched-control	46345	B2	0.05	2	0	5	4
matched-control	46345	B2	0.25	1	0	2	1
matched-control	46345	B2	0.5	0	0	1	1
matched-control	46345	A1	0.001	16	11	85	84
matched-control	46345	A1	0.01	5	2	15	11
matched-control	46345	A1	0.05	2	1	5	4
matched-control	46345	A1	0.25	1	1	2	2
