timestamp_utc	zone0_mC	zone1_mC	zone2_mC	zone3_mC	cpu0_khz	cpu1_khz	cpu2_khz	cpu3_khz	cpu4_khz
2026-07-15T10:10:02Z	59000	59000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:10:07Z	59000	58000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:10:12Z	59000	58000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:10:17Z	61000	59000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:10:22Z	59000	57000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:10:27Z	60000	58000	67000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:10:32Z	59000	58000	65000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:10:37Z	59000	58000	66000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:10:42Z	59000	57000	66000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:10:47Z	60000	59000	67000	63000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:10:52Z	59000	59000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:10:58Z	60000	58000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:11:03Z	58000	59000	67000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:11:08Z	59000	58000	66000	65000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:11:13Z	60000	58000	67000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:11:18Z	58000	57000	67000	66000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:11:23Z	59000	59000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:11:28Z	60000	59000	67000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:11:33Z	59000	58000	67000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:11:38Z	60000	59000	66000	64000	1600000	1600000	1600000	1600000	1600000
2026-07-15T10:11:43Z	59000	58000	67000	66000	1600000	1600000	1600000	1600000	1600000
