fold	role	resolution	shape_class	operation_index	kind	m	n	k	kernel	stride	selected_route	mean_us
hold-resolution-416	training	512	dense_3x3s2_k144	3	conv_dense	16384	32	144	3x3	2x2	p3-segmented-n16	2129.12
hold-resolution-416	training	640	dense_3x3s2_k144	3	conv_dense	25600	32	144	3x3	2x2	p3-segmented-n16	3330.88
hold-resolution-416	training	384	dense_3x3s2_k576	14	conv_dense	2304	64	576	3x3	2x2	p3-segmented-n16	1547.31
hold-resolution-416	training	448	dense_3x3s2_k576	14	conv_dense	3136	64	576	3x3	2x2	p3-segmented-n16	2017.95
hold-resolution-416	training	480	dense_3x3s2_k576	14	conv_dense	3600	64	576	3x3	2x2	p3-segmented-n16	2307.15
hold-resolution-416	training	512	dense_3x3s2_k576	14	conv_dense	4096	64	576	3x3	2x2	p3-segmented-n16	3330.93
hold-resolution-416	training	640	dense_3x3s2_k576	14	conv_dense	6400	64	576	3x3	2x2	p3-segmented-n16	3899.11
hold-resolution-416	training	384	depthwise_c64	128	conv_grouped	2304	64	576	3x3	1x1	depthwise-v2-c8	525.467
hold-resolution-416	training	448	depthwise_c64	128	conv_grouped	3136	64	576	3x3	1x1	depthwise-v2-c8	718.572
hold-resolution-416	training	480	depthwise_c64	128	conv_grouped	3600	64	576	3x3	1x1	depthwise-v2-c8	798.331
hold-resolution-416	training	512	depthwise_c64	128	conv_grouped	4096	64	576	3x3	1x1	depthwise-v2-c8	922.95
hold-resolution-416	training	640	depthwise_c64	128	conv_grouped	6400	64	576	3x3	1x1	depthwise-v2-c8	1414.34
hold-resolution-416	training	384	depthwise_c128	162	conv_grouped	576	128	1152	3x3	1x1	depthwise-v2-c8	281.736
hold-resolution-416	training	448	depthwise_c128	162	conv_grouped	784	128	1152	3x3	1x1	depthwise-v2-c8	378.539
hold-resolution-416	training	480	depthwise_c128	162	conv_grouped	900	128	1152	3x3	1x1	depthwise-v2-c8	428.642
hold-resolution-416	training	512	depthwise_c128	162	conv_grouped	1024	128	1152	3x3	1x1	depthwise-v2-c8	479.449
hold-resolution-416	training	640	depthwise_c128	162	conv_grouped	1600	128	1152	3x3	1x1	depthwise-v2-c8	731.832
hold-resolution-416	training	384	depthwise_c80	173	conv_grouped	576	80	720	3x3	1x1	depthwise-v2-c8	171.153
hold-resolution-416	training	448	depthwise_c80	173	conv_grouped	784	80	720	3x3	1x1	depthwise-v2-c8	231.056
hold-resolution-416	training	480	depthwise_c80	173	conv_grouped	900	80	720	3x3	1x1	depthwise-v2-c8	266.606
hold-resolution-416	training	512	depthwise_c80	173	conv_grouped	1024	80	720	3x3	1x1	depthwise-v2-c8	305.211
hold-resolution-416	training	640	depthwise_c80	173	conv_grouped	1600	80	720	3x3	1x1	depthwise-v2-c8	464.099
hold-resolution-416	training	384	depthwise_c256	202	conv_grouped	144	256	2304	3x3	1x1	depthwise-v2-c8	147.875
hold-resolution-416	training	448	depthwise_c256	202	conv_grouped	196	256	2304	3x3	1x1	depthwise-v2-c8	197.891
hold-resolution-416	training	480	depthwise_c256	202	conv_grouped	225	256	2304	3x3	1x1	depthwise-v2-c8	239.958
hold-resolution-416	training	512	depthwise_c256	202	conv_grouped	256	256	2304	3x3	1x1	depthwise-v2-c8	255.108
hold-resolution-416	training	640	depthwise_c256	202	conv_grouped	400	256	2304	3x3	1x1	depthwise-v2-c8	389.36
hold-resolution-448	training	384	dense_1x1_k32	5	conv_dense	9216	32	32	1x1	1x1	family-a-weight-stationary-n16	722.751
hold-resolution-448	training	416	dense_1x1_k32	5	conv_dense	10816	32	32	1x1	1x1	family-a-weight-stationary-n16	722.47
hold-resolution-448	training	480	dense_1x1_k32	5	conv_dense	14400	32	32	1x1	1x1	family-a-weight-stationary-n16	978.911
hold-resolution-448	training	512	dense_1x1_k32	5	conv_dense	16384	32	32	1x1	1x1	family-a-weight-stationary-n16	1352.16
hold-resolution-448	training	640	dense_1x1_k32	5	conv_dense	25600	32	32	1x1	1x1	family-a-weight-stationary-n16	1870.22
hold-resolution-448	training	384	dense_1x1_k48	12	conv_dense	9216	64	48	1x1	1x1	family-a-weight-stationary-n16	1775.77
hold-resolution-448	training	416	dense_1x1_k48	12	conv_dense	10816	64	48	1x1	1x1	family-a-weight-stationary-n16	1754
hold-resolution-448	training	480	dense_1x1_k48	12	conv_dense	14400	64	48	1x1	1x1	family-a-weight-stationary-n16	2341.14
hold-resolution-448	training	512	dense_1x1_k48	12	conv_dense	16384	64	48	1x1	1x1	family-a-weight-stationary-n16	5091.19
hold-resolution-448	training	640	dense_1x1_k48	12	conv_dense	25600	64	48	1x1	1x1	family-a-weight-stationary-n16	4826.54
hold-resolution-448	training	384	dense_1x1_k256	108	conv_dense	2304	64	256	1x1	1x1	direct-strided-n16	1346.84
hold-resolution-448	training	416	dense_1x1_k256	108	conv_dense	2704	64	256	1x1	1x1	direct-strided-n16	925.01
hold-resolution-448	training	480	dense_1x1_k256	108	conv_dense	3600	64	256	1x1	1x1	direct-strided-n16	1496.24
hold-resolution-448	training	512	dense_1x1_k256	108	conv_dense	4096	64	256	1x1	1x1	direct-strided-n16	7407.95
hold-resolution-448	training	640	dense_1x1_k256	108	conv_dense	6400	64	256	1x1	1x1	direct-strided-n16	2730.86
hold-resolution-448	training	384	dense_1x1_k96	124	conv_dense	2304	64	96	1x1	1x1	direct-strided-n16	538.652
hold-resolution-448	training	416	dense_1x1_k96	124	conv_dense	2704	64	96	1x1	1x1	direct-strided-n16	548.311
hold-resolution-448	training	480	dense_1x1_k96	124	conv_dense	3600	64	96	1x1	1x1	direct-strided-n16	719.87
hold-resolution-448	training	512	dense_1x1_k96	124	conv_dense	4096	64	96	1x1	1x1	direct-strided-n16	1368.43
hold-resolution-448	training	640	dense_1x1_k96	124	conv_dense	6400	64	96	1x1	1x1	family-a-weight-stationary-n16	1347.59
hold-resolution-448	training	384	dense_1x1_n80_k64	133	conv_dense	2304	80	64	1x1	1x1	direct-strided-n16	546.223
hold-resolution-448	training	416	dense_1x1_n80_k64	133	conv_dense	2704	80	64	1x1	1x1	direct-strided-n16	597.185
