repeat	run	wall_us	process_cpu_us	input_wrap_us	ort_run_us	output_copy_us
3	63	452476.368000	1819694.117000	10.042000	452069.024000	360.885000
3	64	455499.487000	1811379.575000	11.834000	455156.978000	281.882000
3	65	454943.637000	1821777.619000	8.667000	454613.004000	274.840000
3	66	452919.959000	1808526.410000	9.958000	452586.618000	275.799000
3	67	456480.840000	1835958.285000	9.876000	456091.455000	339.634000
3	68	456820.306000	1824702.867000	11.917000	456482.006000	286.049000
3	69	456181.080000	1823782.284000	10.709000	455842.155000	287.299000
3	70	455189.095000	1822642.996000	11.792000	454764.001000	372.218000
3	71	453538.510000	1809032.160000	9.958000	453197.543000	286.799000
3	72	453756.597000	1809139.284000	10.125000	453420.547000	280.007000
3	73	454001.728000	1821859.409000	10.208000	453676.178000	275.215000
3	74	455367.260000	1822640.994000	9.792000	455032.210000	285.173000
3	75	453347.083000	1809083.076000	10.375000	453014.158000	277.132000
3	76	453511.085000	1808866.785000	9.292000	453173.492000	279.674000
3	77	455713.891000	1823196.869000	9.792000	455377.840000	279.882000
3	78	456174.859000	1823530.868000	10.208000	455843.226000	275.923000
3	79	456537.742000	1835845.078000	10.209000	456130.231000	357.551000
3	80	452641.891000	1807932.034000	10.250000	452280.715000	309.258000
3	81	453160.778000	1808616.702000	11.459000	452826.018000	278.341000
3	82	457108.170000	1824788.785000	8.876000	456772.410000	281.049000
3	83	455021.446000	1822154.034000	9.458000	454687.772000	277.299000
3	84	454801.941000	1822326.074000	9.834000	454468.932000	283.757000
3	85	454597.641000	1809831.911000	10.250000	454245.132000	295.550000
3	86	456609.901000	1835877.619000	8.875000	456208.849000	352.593000
3	87	455504.120000	1811089.449000	10.541000	455169.529000	278.132000
3	88	455849.670000	1823227.951000	9.917000	455511.703000	281.590000
3	89	452505.958000	1819825.370000	10.417000	452105.864000	350.468000
3	90	452040.903000	1807522.200000	11.584000	451654.976000	336.592000
3	91	454761.013000	1810122.700000	11.667000	454425.879000	276.924000
3	92	455022.018000	1822262.912000	9.542000	454696.593000	271.548000
3	93	453771.527000	1809170.285000	9.917000	453427.768000	285.716000
3	94	456512.470000	1836024.826000	10.000000	456103.043000	361.009000
3	95	453032.422000	1808847.743000	12.084000	452685.955000	293.966000
3	96	454593.417000	1810043.615000	10.333000	454258.117000	277.507000
3	97	452098.229000	1807764.451000	8.875000	451764.387000	277.465000
3	98	454497.620000	1821816.496000	9.250000	454166.654000	274.799000
3	99	453283.797000	1808781.119000	9.876000	452946.205000	281.924000
4	0	455895.820000	1823558.118000	11.417000	455566.104000	273.299000
4	1	453068.123000	1820253.161000	9.875000	452740.364000	280.715000
4	2	453218.041000	1808957.825000	10.667000	452889.866000	273.007000
4	3	453846.389000	1809423.368000	9.459000	453516.672000	274.132000
4	4	453417.128000	1821157.536000	10.792000	453093.203000	274.590000
4	5	452573.979000	1807588.201000	9.333000	452248.596000	274.298000
4	6	453302.789000	1808913.702000	9.375000	452968.197000	277.799000
4	7	452283.926000	1807748.078000	10.000000	451946.960000	278.132000
4	8	452982.944000	1820563.200000	10.126000	452635.352000	301.549000
4	9	455660.718000	1811342.911000	10.500000	455272.209000	280.091000
4	10	457468.306000	1824163.119000	11.958000	457138.839000	275.716000
4	11	453487.077000	1809109.285000	8.417000	453155.527000	276.840000
4	12	455874.220000	1823389.119000	10.376000	455540.628000	275.299000
4	13	455590.628000	1823215.867000	9.417000	455263.745000	271.382000
4	14	454422.680000	1821869.740000	10.751000	454087.630000	286.882000
