resolution	shape_class	operation_index	kind	m	n	k	kernel	stride	selected_route	design_role
512	dense_3x3s1_k2304	201	conv_dense	256	16	2304	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
640	dense_3x3s1_k2304	201	conv_dense	400	16	2304	3x3	1x1	packed-p1-n16	bounded-graph-backed-synthetic-exact-shape
384	dense_3x3s2_k144	3	conv_dense	9216	32	144	3x3	2x2	p3-segmented-n16	bounded-graph-backed-synthetic-exact-shape
416	dense_3x3s2_k144	3	conv_dense	10816	32	144	3x3	2x2	p3-segmented-n16	bounded-graph-backed-synthetic-exact-shape
448	dense_3x3s2_k144	3	conv_dense	12544	32	144	3x3	2x2	p3-segmented-n16	bounded-graph-backed-synthetic-exact-shape
480	dense_3x3s2_k144	3	conv_dense	14400	32	144	3x3	2x2	p3-segmented-n16	bounded-graph-backed-synthetic-exact-shape
512	dense_3x3s2_k144	3	conv_dense	16384	32	144	3x3	2x2	p3-segmented-n16	bounded-graph-backed-synthetic-exact-shape
640	dense_3x3s2_k144	3	conv_dense	25600	32	144	3x3	2x2	p3-segmented-n16	bounded-graph-backed-synthetic-exact-shape
384	dense_3x3s2_k576	14	conv_dense	2304	64	576	3x3	2x2	p3-segmented-n16	bounded-graph-backed-synthetic-exact-shape
416	dense_3x3s2_k576	14	conv_dense	2704	64	576	3x3	2x2	p3-segmented-n16	bounded-graph-backed-synthetic-exact-shape
448	dense_3x3s2_k576	14	conv_dense	3136	64	576	3x3	2x2	p3-segmented-n16	bounded-graph-backed-synthetic-exact-shape
480	dense_3x3s2_k576	14	conv_dense	3600	64	576	3x3	2x2	p3-segmented-n16	bounded-graph-backed-synthetic-exact-shape
512	dense_3x3s2_k576	14	conv_dense	4096	64	576	3x3	2x2	p3-segmented-n16	bounded-graph-backed-synthetic-exact-shape
640	dense_3x3s2_k576	14	conv_dense	6400	64	576	3x3	2x2	p3-segmented-n16	bounded-graph-backed-synthetic-exact-shape
384	depthwise_c64	128	conv_grouped	2304	64	576	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
416	depthwise_c64	128	conv_grouped	2704	64	576	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
448	depthwise_c64	128	conv_grouped	3136	64	576	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
480	depthwise_c64	128	conv_grouped	3600	64	576	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
512	depthwise_c64	128	conv_grouped	4096	64	576	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
640	depthwise_c64	128	conv_grouped	6400	64	576	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
384	depthwise_c128	162	conv_grouped	576	128	1152	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
416	depthwise_c128	162	conv_grouped	676	128	1152	3x3	1x1	depthwise-v2-c8	bounded-graph-backed-synthetic-exact-shape
