resolution	shape_class	operation_index	operation_name	kind	output_h	output_w	m	n	k	kernel	stride	input_c	output_c	working_set_bytes	packed_weight_bytes	mean_us	median_us	p95_us	max_us	output_hash	correctness_status	selected_route	scheduler	workers	tails
480	dense_1x1_k384	90	/model.13/cv1/conv/Conv	conv_dense	30	30	900	128	384	1x1	1x1	384	128	460800	49152	929.356	921.598	953.6	971.848	0xec7bba9317826830	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
512	dense_1x1_k384	90	/model.13/cv1/conv/Conv	conv_dense	32	32	1024	128	384	1x1	1x1	384	128	524288	49152	1461.93	1266.58	2047.9	2189.53	0x3343f33546fec3c3	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_1x1_k384	90	/model.13/cv1/conv/Conv	conv_dense	40	40	1600	128	384	1x1	1x1	384	128	819200	49152	2141.5	2122.78	2361.05	2388.12	0x82ff0077e9dfe4bf	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
384	dense_1x1_n80_k256	206	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv	conv_dense	12	12	144	80	256	1x1	1x1	256	80	48384	20480	58.2615	55.9595	62.9701	92.46	0x73b08a61360866f8	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
416	dense_1x1_n80_k256	206	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv	conv_dense	13	13	169	80	256	1x1	1x1	256	80	56784	20480	83.4513	82.0845	90.5365	98.335	0x5fda3700149c64a7	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=1;N%16=0
448	dense_1x1_n80_k256	206	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv	conv_dense	14	14	196	80	256	1x1	1x1	256	80	65856	20480	93.4431	91.064	98.5645	140.127	0x28f24744d6b2cbd	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
480	dense_1x1_n80_k256	206	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv	conv_dense	15	15	225	80	256	1x1	1x1	256	80	75600	20480	97.9786	96.731	105.862	106.376	0x3b039d22ed94874c	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=9;N%16=0
512	dense_1x1_n80_k256	206	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv	conv_dense	16	16	256	80	256	1x1	1x1	256	80	86016	20480	109.612	108.356	117.044	124.96	0x557537b1e02884c3	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
640	dense_1x1_n80_k256	206	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv	conv_dense	20	20	400	80	256	1x1	1x1	256	80	134400	20480	164.867	164.857	168.016	173.003	0x3ce9ffd52902a998	exact-component-contract	direct-strided-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
384	dense_3x3s1_k72	9	/model.2/m.0/cv2/conv/Conv	conv_dense	96	96	9216	16	72	3x3	1x1	8	16	221184	1152	600.222	599.781	611.701	612.176	0x5919f03ff0f7e53e	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=0;N%16=0
416	dense_3x3s1_k72	9	/model.2/m.0/cv2/conv/Conv	conv_dense	104	104	10816	16	72	3x3	1x1	8	16	259584	1152	697.94	694.573	713.778	718.844	0xfa6f59d556f49272	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
448	dense_3x3s1_k72	9	/model.2/m.0/cv2/conv/Conv	conv_dense	112	112	12544	16	72	3x3	1x1	8	16	301056	1152	809.529	808.575	822.994	825.805	0xf28da35bf41f412a	exact-component-contract	packed-p1-n16	SCHED_OTHER-raw-epoch-spin	CPU0-3	M%12=4;N%16=0
