graph_index	node_name	block	op_type	input_shape	output_shape	kernel	stride	padding	group	M	N	K	MACs	weight_bytes	activation_bytes	M_mod_4	M_mod_8	M_mod_12	N_mod_16	N_mod_32	K_padding_to_8	candidate_layout	candidate_kernel_class	shape_class
749	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv	model.23	Conv	1x80x80x80	1x80x80x80	3x3	1x1	1x1	80	6400	80	9	4608000	720	4096000	0	0	4	0	16	7	resident_NHWC16_signed_s8	grouped_conservative	grouped_or_depthwise_conv
753	/model.19/m.0/cv1/conv/Conv	model.19	Conv	1x64x40x40	1x32x40x40	1x1	1x1	0x0	1	1600	32	64	3276800	2048	614400	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_low_resolution
754	/model.19/m.0/cv2/conv/Conv	model.19	Conv	1x64x40x40	1x32x40x40	1x1	1x1	0x0	1	1600	32	64	3276800	2048	614400	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_low_resolution
771	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	model.23	Conv	1x80x80x80	1x80x80x80	1x1	1x1	0x0	1	6400	80	80	40960000	6400	4096000	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_high_resolution
774	/model.19/m.0/m/m.0/cv1/conv/Conv	model.19	Conv	1x32x40x40	1x32x40x40	3x3	1x1	1x1	1	1600	32	288	14745600	9216	409600	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride1
785	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv	model.23	Conv	1x80x80x80	1x80x80x80	1x1	1x1	0x0	1	6400	80	80	40960000	6400	4096000	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_high_resolution
788	/model.19/m.0/m/m.0/cv2/conv/Conv	model.19	Conv	1x32x40x40	1x32x40x40	3x3	1x1	1x1	1	1600	32	288	14745600	9216	409600	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride1
798	/model.19/m.0/m/m.1/cv1/conv/Conv	model.19	Conv	1x32x40x40	1x32x40x40	3x3	1x1	1x1	1	1600	32	288	14745600	9216	409600	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride1
805	/model.19/m.0/m/m.1/cv2/conv/Conv	model.19	Conv	1x32x40x40	1x32x40x40	3x3	1x1	1x1	1	1600	32	288	14745600	9216	409600	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride1
814	/model.19/m.0/cv3/conv/Conv	model.19	Conv	1x64x40x40	1x64x40x40	1x1	1x1	0x0	1	1600	64	64	6553600	4096	819200	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_low_resolution
822	/model.19/cv2/conv/Conv	model.19	Conv	1x192x40x40	1x128x40x40	1x1	1x1	0x0	1	1600	128	192	39321600	24576	2048000	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	1x1_low_resolution
829	/model.20/conv/Conv	model.20	Conv	1x128x40x40	1x128x20x20	3x3	2x2	1x1	1	400	128	1152	58982400	147456	1024000	0	0	4	0	0	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride2
830	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv	model.23	Conv	1x128x40x40	1x16x40x40	3x3	1x1	1x1	1	1600	16	1152	29491200	18432	921600	0	0	4	0	16	0	resident_NHWC16_signed_s8	m12n16_fullshape	3x3_stride1
831	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv	model.23	Conv	1x128x40x40	1x128x40x40	3x3	1x1	1x1	128	1600	128	9	1843200	1152	1638400	0	0	4	0	0	7	resident_NHWC16_signed_s8	grouped_conservative	grouped_or_depthwise_conv
