block	initializer	dtype	shape	element_count	bytes	raw_sha256
model8	model.8.cv2.conv.bias_quantized_scale	float32	256	256	1024	a79afa4a0e28639c8d43cf6282de743da91dc97f3722e45a5248c73717f6c3cc
model8	model.8.cv2.conv.bias_quantized_zero_point	int32	256	256	1024	5f70bf18a086007016e948b04aed3b82103a36bea41755b6cddfaf10ace3c6ef
model8	model.8.cv2.conv.weight_quantized	int8	256x384x1x1	98304	98304	d6599ada80763f7f47649c0bd4645e511dd9708f597871fd3b6674aa91024834
model8	model.8.cv2.conv.weight_scale	float32	256	256	1024	11da7ee6a63e81146f8efe92caf7912f535bc37486e4955af2c97c5e89ad915f
model8	model.8.cv2.conv.weight_zero_point	int8	256	256	256	5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1
model8	model.8.m.0.cv1.conv.bias_quantized	int32	64	64	256	be0c9c5a7683ee40aa68e3428d129f4c92e4142815e272b51116f92dfae36029
model8	model.8.m.0.cv1.conv.bias_quantized_scale	float32	64	64	256	5d6095da682ad39606bdb371f5e8b0ddc2a5c7d9be383082060856b397ec25a3
model8	model.8.m.0.cv1.conv.bias_quantized_zero_point	int32	64	64	256	5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1
model8	model.8.m.0.cv1.conv.weight_quantized	int8	64x128x1x1	8192	8192	f531f11e0c57bf783d2184a163b8ffe7caba0f537612cd4b9e910f12ba7c8739
model8	model.8.m.0.cv1.conv.weight_scale	float32	64	64	256	a388f00bf216c4d01a3e4947ae0e7101ef6a13db778dcf231ce5ecd6c49b309a
model8	model.8.m.0.cv1.conv.weight_zero_point	int8	64	64	64	f5a5fd42d16a20302798ef6ed309979b43003d2320d9f0e8ea9831a92759fb4b
model8	model.8.m.0.cv2.conv.bias_quantized	int32	64	64	256	5fb464f334b0be3d3dfc71e74fa09afa952fc7f2bcba69a8b20730214928cd1d
model8	model.8.m.0.cv2.conv.bias_quantized_scale	float32	64	64	256	d538612af7ccf5ca297af29f3407bbfbe2b404d8d94b288d15bb1e80bff9b0ae
model8	model.8.m.0.cv2.conv.bias_quantized_zero_point	int32	64	64	256	5341e6b2646979a70e57653007a1f310169421ec9bdd9f1a5648f75ade005af1
