candidate	image_index	image	surface	shape	dtype	sha256	non_finite_count	minimum	maximum	mean	stddev	zero_count	nonzero_count	negative_count	positive_count	inference_ms	tail_ms	total_ms
B2	60	000000237723.jpg	source-fp32	1x300x6	float32	8bde37ca0f73927fc344821adf06fd9496b3b6718fce725406d2ed412d6af944	0	0.0	646.7884521484375	241.1116943359375	192.23138427734375	1	1799	0	1799	nan	nan	nan
B2	60	000000237723.jpg	split-fp32	1x300x6	float32	8bde37ca0f73927fc344821adf06fd9496b3b6718fce725406d2ed412d6af944	0	0.0	646.7884521484375	241.1116943359375	192.23138427734375	1	1799	0	1799	174.137462	3.611309	177.748771
B2	60	000000237723.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	8bde37ca0f73927fc344821adf06fd9496b3b6718fce725406d2ed412d6af944	0	0.0	646.7884521484375	241.1116943359375	192.23138427734375	1	1799	0	1799	nan	3.400819	nan
B2	60	000000237723.jpg	split-s8	1x300x6	float32	44c4694c0dc9b9226e1e233a8bc76d5f24177fa606db3ac121edf86ceb536971	0	0.0	641.6549682617188	245.6000213623047	199.7769775390625	2	1798	0	1798	242.795793	3.583835	246.379628
B2	61	000000295589.jpg	source-fp32	1x300x6	float32	78114b4ded29463e7dcd93c47389508c8acc4834a4b69e311341c1dcaa773e97	0	-0.24471187591552734	639.7637329101562	130.85372924804688	174.07421875	262	1538	4	1534	nan	nan	nan
B2	61	000000295589.jpg	split-fp32	1x300x6	float32	78114b4ded29463e7dcd93c47389508c8acc4834a4b69e311341c1dcaa773e97	0	-0.24471187591552734	639.7637329101562	130.85372924804688	174.07421875	262	1538	4	1534	173.721998	3.44772	177.16971800000002
B2	61	000000295589.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	78114b4ded29463e7dcd93c47389508c8acc4834a4b69e311341c1dcaa773e97	0	-0.24471187591552734	639.7637329101562	130.85372924804688	174.07421875	262	1538	4	1534	nan	3.346272	nan
B2	61	000000295589.jpg	split-s8	1x300x6	float32	4461a3c3dea34884d4c6f1f0959f7ab1c12e2ee95f243c2f140161f571627e45	0	-0.7445497512817383	639.9013671875	128.1172637939453	170.19366455078125	275	1525	14	1511	249.865014	3.781647	253.646661
B2	62	000000277088.jpg	source-fp32	1x300x6	float32	1bb9305966bc9cef258569424a4acad71ba0824b2568bf640747caf62f131371	0	0.0	640.0822143554688	219.5026092529297	173.89952087402344	35	1765	0	1765	nan	nan	nan
B2	62	000000277088.jpg	split-fp32	1x300x6	float32	1bb9305966bc9cef258569424a4acad71ba0824b2568bf640747caf62f131371	0	0.0	640.0822143554688	219.5026092529297	173.89952087402344	35	1765	0	1765	178.885701	3.833682	182.71938300000002
B2	62	000000277088.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	1bb9305966bc9cef258569424a4acad71ba0824b2568bf640747caf62f131371	0	0.0	640.0822143554688	219.5026092529297	173.89952087402344	35	1765	0	1765	nan	3.375642	nan
B2	62	000000277088.jpg	split-s8	1x300x6	float32	626fb0648c2a3872cb22793c5ef4f57a77a4713e9ee2156cf4cca12fa364c894	0	-1.1554698944091797	639.9642944335938	214.9261474609375	170.13551330566406	34	1766	1	1765	250.761763	3.834754	254.596517
B2	63	000000068646.jpg	source-fp32	1x300x6	float32	4311dbb5bb25b6e1fad35d00220ce75969bcaac96c57875e049ce1563faccb4f	0	-4.54962158203125	650.752685546875	208.07345581054688	216.59005737304688	24	1776	27	1749	nan	nan	nan
B2	63	000000068646.jpg	split-fp32	1x300x6	float32	4311dbb5bb25b6e1fad35d00220ce75969bcaac96c57875e049ce1563faccb4f	0	-4.54962158203125	650.752685546875	208.07345581054688	216.59005737304688	24	1776	27	1749	172.760962	3.534214	176.295176
B2	63	000000068646.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	4311dbb5bb25b6e1fad35d00220ce75969bcaac96c57875e049ce1563faccb4f	0	-4.54962158203125	650.752685546875	208.07345581054688	216.59005737304688	24	1776	27	1749	nan	3.342663	nan
B2	63	000000068646.jpg	split-s8	1x300x6	float32	f8482f84cda39dd7f4f4e3cc92111c3ebdb83485868a26ad592a6897e7cf3384	0	-11.23175048828125	647.27587890625	206.4279327392578	216.68507385253906	24	1776	31	1745	242.485809	3.664289	246.15009799999999
B2	64	000000207074.jpg	source-fp32	1x300x6	float32	c8c3c667a502a9210a386dbb78d9dffe5687c662df2e94f1f1f87d707c462f5e	0	0.0	537.6984252929688	249.7353057861328	194.3865966796875	64	1736	0	1736	nan	nan	nan
B2	64	000000207074.jpg	split-fp32	1x300x6	float32	c8c3c667a502a9210a386dbb78d9dffe5687c662df2e94f1f1f87d707c462f5e	0	0.0	537.6984252929688	249.7353057861328	194.3865966796875	64	1736	0	1736	176.081165	3.777168	179.858333
B2	64	000000207074.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	c8c3c667a502a9210a386dbb78d9dffe5687c662df2e94f1f1f87d707c462f5e	0	0.0	537.6984252929688	249.7353057861328	194.3865966796875	64	1736	0	1736	nan	3.516564	nan
B2	64	000000207074.jpg	split-s8	1x300x6	float32	c394f41122288684e8829a34849f4e5d7cd74a0108f1b4933c8d67184086c7e5	0	0.0	538.163818359375	253.23861694335938	196.2265167236328	64	1736	0	1736	247.68061	3.57237	251.25298
B2	65	000000509718.jpg	source-fp32	1x300x6	float32	b9d06488c698008d332e37c0bfe251f061bebb30fd6310aaf0aecd912f1b42c5	0	0.0	639.8033447265625	233.1263885498047	187.3402862548828	69	1731	0	1731	nan	nan	nan
B2	65	000000509718.jpg	split-fp32	1x300x6	float32	b9d06488c698008d332e37c0bfe251f061bebb30fd6310aaf0aecd912f1b42c5	0	0.0	639.8033447265625	233.1263885498047	187.3402862548828	69	1731	0	1731	181.704742	3.550157	185.25489900000002
B2	65	000000509718.jpg	candidate-tail-on-fp32-boundaries	1x300x6	float32	b9d06488c698008d332e37c0bfe251f061bebb30fd6310aaf0aecd912f1b42c5	0	0.0	639.8033447265625	233.1263885498047	187.3402862548828	69	1731	0	1731	nan	3.377162	nan
