fixture_scope	candidate	image_index	image	fp32_split_vs_unsplit_mae	fp32_split_vs_unsplit_max_abs	fp32_split_vs_unsplit_cosine	s8_vs_fp32_mae	s8_vs_fp32_max_abs	s8_vs_fp32_cosine	candidate_tail_vs_source_mae	candidate_tail_vs_source_max_abs	candidate_tail_vs_source_cosine	confidence_branch_collapsed	status
H500-first-100	B5	48	000000340868.jpg	0.0	0.0	1.0	78.13689270579152	598.8621826171875	0.870779932398556	0.0	0.0	1.0	0	pass
H500-first-100	B5	49	000000408292.jpg	0.0	0.0	1.0	105.3383939278788	575.4508666992188	0.7678635209595385	0.0	0.0	1.0	0	pass
H500-first-100	B5	50	000000378347.jpg	0.0	0.0	0.9999999999999998	84.22486151268085	541.2971725463867	0.8954259754722816	0.0	0.0	0.9999999999999998	0	pass
H500-first-100	B5	51	000000375325.jpg	0.0	0.0	1.0	94.87070467579696	629.1900014877319	0.8543386593052155	0.0	0.0	1.0	0	pass
H500-first-100	B5	52	000000408206.jpg	0.0	0.0	1.0000000000000002	88.7502851107551	614.3971610069275	0.8845795859575725	0.0	0.0	1.0000000000000002	0	pass
H500-first-100	B5	53	000000465285.jpg	0.0	0.0	1.0	99.02983312471045	578.7571563720703	0.8892187049613015	0.0	0.0	1.0	0	pass
H500-first-100	B5	54	000000517975.jpg	0.0	0.0	0.9999999999999998	97.00899796406428	630.3930072784424	0.829868693728597	0.0	0.0	0.9999999999999998	0	pass
H500-first-100	B5	55	000000449888.jpg	0.0	0.0	1.0000000000000002	106.84861547551222	611.8347778320312	0.8793450548556337	0.0	0.0	1.0000000000000002	0	pass
H500-first-100	B5	56	000000066754.jpg	0.0	0.0	1.0	76.03947143144077	560.3660297393799	0.9093341077722731	0.0	0.0	1.0	0	pass
H500-first-100	B5	57	000000165464.jpg	0.0	0.0	1.0000000000000002	103.72714990862542	626.7739868164062	0.8551169056853176	0.0	0.0	1.0000000000000002	0	pass
H500-first-100	B5	58	000000042947.jpg	0.0	0.0	1.0	58.99883559154139	383.824951171875	0.9493100624840081	0.0	0.0	1.0	0	pass
H500-first-100	B5	59	000000199403.jpg	0.0	0.0	1.0	94.35376554714308	625.1689462661743	0.881649017077025	0.0	0.0	1.0	0	pass
H500-first-100	B5	60	000000237723.jpg	0.0	0.0	1.0	78.75311491896709	461.1791534423828	0.9137897310278615	0.0	0.0	1.0	0	pass
H500-first-100	B5	61	000000295589.jpg	0.0	0.0	1.0000000000000002	87.0141605786648	632.0384526252747	0.7241385723766257	0.0	0.0	1.0000000000000002	0	pass
H500-first-100	B5	62	000000277088.jpg	0.0	0.0	0.9999999999999998	55.75255477501286	594.3259773254395	0.9159040533570367	0.0	0.0	0.9999999999999998	0	pass
H500-first-100	B5	63	000000068646.jpg	0.0	0.0	0.9999999999999998	148.60127402075463	638.3482055664062	0.651803392373381	0.0	0.0	0.9999999999999998	0	pass
H500-first-100	B5	64	000000207074.jpg	0.0	0.0	1.0	56.95204101158513	414.4717102050781	0.9474804154148959	0.0	0.0	1.0	0	pass
H500-first-100	B5	65	000000509718.jpg	0.0	0.0	1.0	78.78336651598414	438.52745056152344	0.9125881907496346	0.0	0.0	1.0	0	pass
H500-first-100	B5	66	000000014283.jpg	0.0	0.0	1.0000000000000002	66.0422008154293	415.00831604003906	0.9394646518806078	0.0	0.0	1.0000000000000002	0	pass
