operation_index	resident_operation_index	kind	name	mean_us	p95_us	implementation	layout	workers	confidence
194	-1	conv_dense	/model.22/m.0/m.0.1/ffn/ffn.0/conv/Conv	950.74926	995.5652499999999	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
196	-1	conv_dense	/model.22/m.0/m.0.1/ffn/ffn.1/conv/Conv	546.01316	565.49025	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
199	-1	conv_dense	/model.22/cv2/conv/Conv	1215.48156	1254.7187	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
201	-1	conv_dense	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv	674.46176	711.0902	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
202	-1	conv_grouped	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv	811.1922999999999	838.3938499999999	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
205	-1	conv_dense	/model.23/one2one_cv2.2/one2one_cv2.2.1/conv/Conv	85.85126	87.04925	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
206	-1	conv_dense	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv	361.88376000000005	369.35515	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
209	-1	conv_dense	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv	19.29356	20.06875	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
210	-1	conv_grouped	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv	249.35886	250.72915	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
212	-1	conv_dense	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv	262.92554	294.3562	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
214	-1	conv_dense	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv	268.83148	271.29205	stable-selected	NCHWc8_SPATIAL_INNER_V1	4	50 complete profiled observations
