resample	seed	metric	delta_k1x_minus_semantic
361	52001	per_image_iou_averaged_f1_delta	-0.0010861860254635068
362	52001	per_image_iou_averaged_f1_delta	-0.0006529917167634439
363	52001	per_image_iou_averaged_f1_delta	0.0002527682924569148
364	52001	per_image_iou_averaged_f1_delta	-0.0019017197162739194
365	52001	per_image_iou_averaged_f1_delta	-0.0020242474939927806
366	52001	per_image_iou_averaged_f1_delta	2.934882058708046e-05
367	52001	per_image_iou_averaged_f1_delta	0.0012301942162985574
368	52001	per_image_iou_averaged_f1_delta	-0.0005492259766532319
369	52001	per_image_iou_averaged_f1_delta	-0.0011479630137260978
370	52001	per_image_iou_averaged_f1_delta	-0.0020011949436265952
371	52001	per_image_iou_averaged_f1_delta	-0.0016503070021454708
372	52001	per_image_iou_averaged_f1_delta	-0.0013801940564813155
373	52001	per_image_iou_averaged_f1_delta	-0.0003141606619144798
374	52001	per_image_iou_averaged_f1_delta	-0.0007120204853834461
375	52001	per_image_iou_averaged_f1_delta	-0.0006763368697813891
376	52001	per_image_iou_averaged_f1_delta	-0.00031204377794257556
377	52001	per_image_iou_averaged_f1_delta	-0.001022084452624408
378	52001	per_image_iou_averaged_f1_delta	-0.000530225149573871
379	52001	per_image_iou_averaged_f1_delta	-0.0011189310548304903
380	52001	per_image_iou_averaged_f1_delta	1.8589706217716828e-05
381	52001	per_image_iou_averaged_f1_delta	-0.0005993261743978896
382	52001	per_image_iou_averaged_f1_delta	-0.00019089548443758825
383	52001	per_image_iou_averaged_f1_delta	-0.0006867314259775009
384	52001	per_image_iou_averaged_f1_delta	-0.0005446236324492749
385	52001	per_image_iou_averaged_f1_delta	0.00016580526069913195
386	52001	per_image_iou_averaged_f1_delta	-0.0006522737856067613
387	52001	per_image_iou_averaged_f1_delta	-0.0009413077637815863
388	52001	per_image_iou_averaged_f1_delta	-0.00039857738848203116
389	52001	per_image_iou_averaged_f1_delta	-3.4611135195582984e-05
390	52001	per_image_iou_averaged_f1_delta	-0.0012952944375097643
391	52001	per_image_iou_averaged_f1_delta	-0.000942974244437713
392	52001	per_image_iou_averaged_f1_delta	-0.0013138664463174636
393	52001	per_image_iou_averaged_f1_delta	-0.0007596949308631348
394	52001	per_image_iou_averaged_f1_delta	-0.0010866241351362692
395	52001	per_image_iou_averaged_f1_delta	-0.000596793204743009
396	52001	per_image_iou_averaged_f1_delta	-0.0007411465605336177
397	52001	per_image_iou_averaged_f1_delta	-0.00048135119355822786
398	52001	per_image_iou_averaged_f1_delta	-0.000792763914160562
399	52001	per_image_iou_averaged_f1_delta	-0.0010754715092266458
400	52001	per_image_iou_averaged_f1_delta	-0.00040601786420360446
401	52001	per_image_iou_averaged_f1_delta	-0.0005916716551223446
402	52001	per_image_iou_averaged_f1_delta	-0.0011373615192849776
403	52001	per_image_iou_averaged_f1_delta	-0.0009569614809363486
404	52001	per_image_iou_averaged_f1_delta	-0.0001517295571377366
405	52001	per_image_iou_averaged_f1_delta	-0.0009863293082794276
406	52001	per_image_iou_averaged_f1_delta	-0.00013626071805463252
407	52001	per_image_iou_averaged_f1_delta	-0.001770877791922009
408	52001	per_image_iou_averaged_f1_delta	-0.0005977103746616323
409	52001	per_image_iou_averaged_f1_delta	-0.0016935501498435116
410	52001	per_image_iou_averaged_f1_delta	-0.0014944837494282423
411	52001	per_image_iou_averaged_f1_delta	-0.00020105978602452798
412	52001	per_image_iou_averaged_f1_delta	-0.0013183670819689273
413	52001	per_image_iou_averaged_f1_delta	-0.0004082762797973911
414	52001	per_image_iou_averaged_f1_delta	3.449991649965657e-05
415	52001	per_image_iou_averaged_f1_delta	-0.0010806255243731083
416	52001	per_image_iou_averaged_f1_delta	-0.0012219288195443904
417	52001	per_image_iou_averaged_f1_delta	-0.0006070485680620287
418	52001	per_image_iou_averaged_f1_delta	-0.0016367349902360203
419	52001	per_image_iou_averaged_f1_delta	-0.00188944716095717
420	52001	per_image_iou_averaged_f1_delta	-0.000495596055270703
421	52001	per_image_iou_averaged_f1_delta	-0.0007094802012406315
422	52001	per_image_iou_averaged_f1_delta	-0.0005592696794090117
