run	operation_index	resident_operation_index	kind	scope	wall_us	name
21	86	-1	lut2	full_executor	245.17	/model.10/m/m.0/Add_1_output_0@/model.10/Concat_output_0_QuantizeLinear_Output
21	87	-1	concat	full_executor	49.168	/model.10/Concat
21	88	-1	conv_dense	full_executor	1020.515	/model.10/cv2/conv/Conv
21	89	-1	concat	full_executor	480.633	/model.12/Concat
21	90	-1	conv_dense	full_executor	2620.081	/model.13/cv1/conv/Conv
21	91	-1	split	full_executor	51.96	/model.13/Split
21	92	-1	conv_dense	full_executor	457.131	/model.13/m.0/cv1/conv/Conv
21	93	-1	conv_dense	full_executor	421.131	/model.13/m.0/cv2/conv/Conv
21	94	-1	lut1	full_executor	24.083	/model.13/m.0/cv1/act/Mul_output_0_QuantizeLinear
21	95	-1	conv_dense	full_executor	601.509	/model.13/m.0/m/m.0/cv1/conv/Conv
21	96	-1	lut1	full_executor	26.501	/model.13/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear
21	97	-1	conv_dense	full_executor	672.177	/model.13/m.0/m/m.0/cv2/conv/Conv
21	98	-1	lut2	full_executor	228.545	/model.13/m.0/m/m.0/Add_output_0_QuantizeLinear
21	99	-1	conv_dense	full_executor	607.926	/model.13/m.0/m/m.1/cv1/conv/Conv
21	100	-1	lut1	full_executor	19.334	/model.13/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear
21	101	-1	conv_dense	full_executor	599.676	/model.13/m.0/m/m.1/cv2/conv/Conv
21	102	-1	lut2	full_executor	241.212	/model.13/m.0/m/m.1/Add_output_0@/model.13/m.0/Concat_output_0_QuantizeLinear_Output
21	103	-1	concat	full_executor	48.75	/model.13/m.0/Concat
21	104	-1	conv_dense	full_executor	851.846	/model.13/m.0/cv3/conv/Conv
21	105	-1	concat	full_executor	163.127	/model.13/Concat
