surface	category_id	name	instance_count	ap50_95
board_rt205_cpu_int8	37	sports ball	263	0.36246140432486845
board_rt205_cpu_int8	38	kite	336	0.4151788676217262
board_rt205_cpu_int8	39	baseball bat	146	0.24208050966577307
board_rt205_cpu_int8	40	baseball glove	148	0.32652479696797637
board_rt205_cpu_int8	41	skateboard	179	0.4579172145376331
board_rt205_cpu_int8	42	surfboard	269	0.32247310775323507
board_rt205_cpu_int8	43	tennis racket	225	0.4088138017738597
board_rt205_cpu_int8	44	bottle	1025	0.2992264756441807
board_rt205_cpu_int8	46	wine glass	343	0.2707423232496774
board_rt205_cpu_int8	47	cup	899	0.32958834256647757
board_rt205_cpu_int8	48	fork	215	0.2555399426635674
board_rt205_cpu_int8	49	knife	326	0.11512694461431365
board_rt205_cpu_int8	50	spoon	253	0.10151982200617449
board_rt205_cpu_int8	51	bowl	626	0.36459472606941135
board_rt205_cpu_int8	52	banana	379	0.23741671895000824
board_rt205_cpu_int8	53	apple	239	0.14430184373615515
board_rt205_cpu_int8	54	sandwich	177	0.3336441733655299
board_rt205_cpu_int8	55	orange	287	0.2841921013503993
board_rt205_cpu_int8	56	broccoli	316	0.18932337492995002
board_rt205_cpu_int8	57	carrot	371	0.19480089412251594
board_rt205_cpu_int8	58	hot dog	127	0.33957330510200545
board_rt205_cpu_int8	59	pizza	285	0.49316925287377955
board_rt205_cpu_int8	60	donut	338	0.45206528951691666
board_rt205_cpu_int8	61	cake	316	0.3362388222333631
board_rt205_cpu_int8	62	chair	1791	0.2552192791314485
board_rt205_cpu_int8	63	couch	261	0.44350972298291813
board_rt205_cpu_int8	64	potted plant	343	0.21229743056835199
board_rt205_cpu_int8	65	bed	163	0.45281790844417175
board_rt205_cpu_int8	67	dining table	697	0.3149577450807707
board_rt205_cpu_int8	70	toilet	179	0.6236648306425011
board_rt205_cpu_int8	72	tv	288	0.5365475928623261
board_rt205_cpu_int8	73	laptop	231	0.5645663643271053
board_rt205_cpu_int8	74	mouse	106	0.4908377043655556
board_rt205_cpu_int8	75	remote	283	0.1835962955881521
board_rt205_cpu_int8	76	keyboard	153	0.5040136545931929
board_rt205_cpu_int8	77	cell phone	262	0.28093141637835956
board_rt205_cpu_int8	78	microwave	55	0.5413099943127054
board_rt205_cpu_int8	79	oven	143	0.3296602357303611
board_rt205_cpu_int8	80	toaster	9	0.19684909150255683
board_rt205_cpu_int8	81	sink	225	0.3264783084479351
board_rt205_cpu_int8	82	refrigerator	126	0.5898293572554502
board_rt205_cpu_int8	84	book	1161	0.11814037151101028
board_rt205_cpu_int8	85	clock	267	0.45921945745842246
board_rt205_cpu_int8	86	vase	277	0.3294512722743203
board_rt205_cpu_int8	87	scissors	36	0.312766242487709
board_rt205_cpu_int8	88	teddy bear	191	0.43342598041081926
board_rt205_cpu_int8	89	hair drier	11	0.0023514851485148514
board_rt205_cpu_int8	90	toothbrush	57	0.16106918162526937
