resolution	route	operation_index	M	N	K	event	worker_samples	cycles_mean_per_worker	event_mean_per_worker	event_count_per_cycle	all_available	time_running_status	interpretation
320	m12n16	133	1600	80	64	instructions	4	4898501.500000	3671599.500000	0.749535241	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	144	1600	80	80	instructions	4	5259225.250000	3766025.500000	0.716079902	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	161	400	16	1152	instructions	4	5331919.000000	3427576.500000	0.642841067	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	201	100	16	2304	instructions	4	2887550.750000	1998118.250000	0.691976842	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	206	100	80	256	instructions	4	737703.500000	361157.500000	0.489569997	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	5	6400	32	32	l1d_read_access	4	6232255.500000	1207457.750000	0.193743300	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	12	6400	64	48	l1d_read_access	4	14717993.500000	3715607.750000	0.252453417	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	124	1600	64	96	l1d_read_access	4	4615938.500000	757684.750000	0.164145330	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	133	1600	80	64	l1d_read_access	4	4924786.000000	851973.250000	0.172997009	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	144	1600	80	80	l1d_read_access	4	5290975.500000	898982.000000	0.169908555	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	161	400	16	1152	l1d_read_access	4	5326565.000000	814161.500000	0.152849257	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	201	100	16	2304	l1d_read_access	4	2891118.250000	451492.750000	0.156165439	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	206	100	80	256	l1d_read_access	4	782424.000000	94976.500000	0.121387509	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	5	6400	32	32	l1d_read_miss	4	6245399.500000	2883.750000	0.000461740	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	12	6400	64	48	l1d_read_miss	4	14883842.750000	13147.750000	0.000883357	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	124	1600	64	96	l1d_read_miss	4	4650245.750000	11425.000000	0.002456859	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	133	1600	80	64	l1d_read_miss	4	4922888.500000	8583.000000	0.001743489	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	144	1600	80	80	l1d_read_miss	4	5365421.250000	11485.250000	0.002140605	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	161	400	16	1152	l1d_read_miss	4	5345515.500000	15977.500000	0.002988954	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	201	100	16	2304	l1d_read_miss	4	2916255.750000	5133.000000	0.001760134	1	positive	event-count-per-cycle; not a miss/access ratio
320	m12n16	206	100	80	256	l1d_read_miss	4	771553.750000	2930.250000	0.003797856	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	5	4	32	32	backend_stalls	4	148456.000000	13578.000000	0.091461443	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	12	4	64	48	backend_stalls	4	140455.000000	11135.500000	0.079281620	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	124	4	64	96	backend_stalls	4	143482.750000	11831.000000	0.082455905	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	133	4	80	64	backend_stalls	4	144657.250000	13696.500000	0.094682430	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	144	4	80	80	backend_stalls	4	143284.250000	11737.000000	0.081914097	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	161	4	16	1152	backend_stalls	4	259391.750000	37737.750000	0.145485545	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	201	4	16	2304	backend_stalls	4	308963.750000	66289.750000	0.214555106	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	206	4	80	256	backend_stalls	4	170018.500000	23232.000000	0.136643953	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	5	4	32	32	frontend_stalls	4	145955.000000	11147.000000	0.076372855	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	12	4	64	48	frontend_stalls	4	139994.000000	8093.750000	0.057814978	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	124	4	64	96	frontend_stalls	4	143358.000000	8493.000000	0.059243293	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	133	4	80	64	frontend_stalls	4	143050.250000	8640.250000	0.060400104	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	144	4	80	80	frontend_stalls	4	146030.500000	8074.000000	0.055289820	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	161	4	16	1152	frontend_stalls	4	232378.750000	20594.500000	0.088624713	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	201	4	16	2304	frontend_stalls	4	313899.500000	33030.750000	0.105227151	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	206	4	80	256	frontend_stalls	4	169514.500000	9037.000000	0.053311074	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	5	4	32	32	instructions	4	125595.750000	49035.000000	0.390419262	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	12	4	64	48	instructions	4	120216.750000	55415.000000	0.460959059	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	124	4	64	96	instructions	4	122439.250000	59225.000000	0.483709268	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	133	4	80	64	instructions	4	123193.000000	59345.000000	0.481723799	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	144	4	80	80	instructions	4	122229.750000	60795.000000	0.497383002	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	161	4	16	1152	instructions	4	219208.500000	120972.500000	0.551860443	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	201	4	16	2304	instructions	4	283331.250000	197412.500000	0.696755123	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	206	4	80	256	instructions	4	151336.250000	76745.000000	0.507115777	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	5	4	32	32	l1d_read_access	4	145920.500000	2445.250000	0.016757412	1	positive	event-count-per-cycle; not a miss/access ratio
320	m4tail	12	4	64	48	l1d_read_access	4	138451.750000	4665.750000	0.033699466	1	positive	event-count-per-cycle; not a miss/access ratio
