resolution	category_id	class_name	instances	ap50_95	ap50	recall_iou50_conf001
448	46	wine glass	343	0.19216826478789667	0.30081589991719565	0.60932944606414
448	47	cup	899	0.2771737271318916	0.40454321059553494	0.7530589543937709
448	48	fork	215	0.21415656322408402	0.3192115040328758	0.627906976744186
448	49	knife	326	0.08181834448350954	0.144373381071744	0.48466257668711654
448	50	spoon	253	0.08192705186063115	0.1341775302911452	0.4980237154150198
448	51	bowl	626	0.3275975497750285	0.444750896249034	0.8067092651757188
448	52	banana	379	0.21955721239794512	0.36434817543299897	0.6912928759894459
448	53	apple	239	0.14524584001599522	0.1987082244306365	0.6150627615062761
448	54	sandwich	177	0.278334565662288	0.4040557642665428	0.7627118644067796
448	55	orange	287	0.23773012320756043	0.3180078012077609	0.686411149825784
448	56	broccoli	316	0.17550024990424676	0.32199867555932477	0.8417721518987342
448	57	carrot	371	0.17157400707559894	0.2981262801852627	0.7115902964959568
448	58	hot dog	127	0.33082324959824344	0.4513468734651012	0.6929133858267716
448	59	pizza	285	0.47296574977852723	0.6223877614915218	0.8105263157894737
448	60	donut	338	0.3682483910572392	0.5233354726882131	0.8136094674556213
448	61	cake	316	0.2971451698660266	0.4489205078435639	0.7626582278481012
448	62	chair	1791	0.20551416202741607	0.33639218698303913	0.7247347850362926
448	63	couch	261	0.39255996637385926	0.5489324107699086	0.9042145593869731
448	64	potted plant	343	0.16663880515530333	0.31774487512082444	0.6909620991253644
448	65	bed	163	0.44404092405319173	0.596198463067871	0.8588957055214724
448	67	dining table	697	0.29640082841047055	0.41610953671555506	0.7675753228120517
448	70	toilet	179	0.6101474088784477	0.7642917633742476	0.9329608938547486
448	72	tv	288	0.5118376219895703	0.6968844790162027	0.8680555555555556
448	73	laptop	231	0.517604713653147	0.643894299875858	0.8354978354978355
448	74	mouse	106	0.4420931928376956	0.6059205418628872	0.839622641509434
448	75	remote	283	0.12876980360293303	0.24604628919128957	0.6819787985865724
448	76	keyboard	153	0.4460738052515031	0.6088409980545706	0.8496732026143791
448	77	cell phone	262	0.24617219358704714	0.3494483106871384	0.6259541984732825
448	78	microwave	55	0.4898429725534848	0.6285448908480793	0.9090909090909091
448	79	oven	143	0.2997898879667181	0.45414417517450173	0.8601398601398601
448	80	toaster	9	0.3319510597674763	0.5251537782964207	1.0
448	81	sink	225	0.30122702462376605	0.47999247861602357	0.8133333333333334
448	82	refrigerator	126	0.5156913713448121	0.6531977154198837	0.8253968253968254
448	84	book	1161	0.08695977457934126	0.1997904230405658	0.6175710594315246
448	85	clock	267	0.38658757106901287	0.5942403252922984	0.7565543071161048
448	86	vase	277	0.2762900183901396	0.40937142679060207	0.740072202166065
448	87	scissors	36	0.31753320460543333	0.3855386577446139	0.5
448	88	teddy bear	191	0.3933537622115175	0.5683184917042332	0.7958115183246073
448	89	hair drier	11	0.004911097614541818	0.010080503940805037	0.2727272727272727
448	90	toothbrush	57	0.1426507426557073	0.1808315812430783	0.42105263157894735
416	1	person	11004	0.4326178685173007	0.6641251665813355	0.8349691021446747
416	2	bicycle	316	0.2062667739136614	0.3586647157907338	0.6329113924050633
416	3	car	1932	0.2562271581509793	0.4410414640785265	0.7261904761904762
416	4	motorcycle	371	0.35707415340467125	0.56783285593122	0.8598382749326146
416	5	airplane	143	0.5819099562168294	0.8061340494748833	0.958041958041958
416	6	bus	285	0.5580575792579303	0.6914670572411861	0.8701754385964913
416	7	train	190	0.6404031884064842	0.8347266053287192	0.9631578947368421
416	8	truck	415	0.23693474747770413	0.36895609173065635	0.8240963855421687
416	9	boat	430	0.1581829751906149	0.2979185065619279	0.6651162790697674
416	10	traffic light	637	0.14597715874219416	0.3018908074682042	0.6122448979591837
416	11	fire hydrant	101	0.5596717884507761	0.7225552717646647	0.8316831683168316
416	13	stop sign	75	0.5567550598205642	0.6317415572223026	0.72
416	14	parking meter	60	0.3668470748361887	0.5292315733481316	0.7666666666666667
416	15	bench	413	0.16131872487065088	0.25589340450774073	0.5883777239709443
416	16	bird	440	0.23389885575961156	0.36641983218219193	0.5840909090909091
416	17	cat	202	0.658706990390583	0.8362147362455428	0.9405940594059405
