resolution	id	name	rank	shape	dim0	dim1	dim2	dim3	logical_elements	storage_bytes	layout	scale	scale_bits	zero_point	dtype	first_op	last_op	arena_offset
768	166	/model.22/m.0/m.0.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	4	1x64x24x24	1	64	24	24	36864	36864	NCHWc8_SPATIAL_INNER_V1	0.059839576482772827	0x3d751a58	139	uint8	174	176	958464
768	167	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul_output_0_QuantizeLinear_Output	4	1x80x48x48	1	80	48	48	184320	184320	NCHWc8_SPATIAL_INNER_V1	0.18654435873031616	0x3e3f057c	1	uint8	175	177	589824
768	168	/model.22/m.0/m.0.0/cv1/act/Mul_output_0_QuantizeLinear_Output	4	1x64x24x24	1	64	24	24	36864	36864	NCHWc8_SPATIAL_INNER_V1	0.028201725333929062	0x3ce7074e	10	uint8	176	178	995328
768	169	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv_output_0_QuantizeLinear_Output	4	1x80x48x48	1	80	48	48	184320	184320	NCHWc8_SPATIAL_INNER_V1	1.3330956697463989	0x3faaa2e1	55	uint8	177	179	1843200
768	170	/model.22/m.0/m.0.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	4	1x128x24x24	1	128	24	24	73728	73728	NCHWc8_SPATIAL_INNER_V1	0.095690280199050903	0x3dc3f944	133	uint8	178	180	1032192
768	171	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0_QuantizeLinear_Output	4	1x80x48x48	1	80	48	48	184320	184320	NCHWc8_SPATIAL_INNER_V1	1.0449954271316528	0x3f85c269	0	uint8	179	181	589824
768	172	/model.22/m.0/m.0.0/Add_output_0_QuantizeLinear_Output	4	1x128x24x24	1	128	24	24	73728	73728	NCHWc8_SPATIAL_INNER_V1	0.046823285520076752	0x3d3fc9c6	12	uint8	180	193	1105920
768	173	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv_output_0_QuantizeLinear_Output	4	1x80x48x48	1	80	48	48	184320	184320	NCHWc8_SPATIAL_INNER_V1	0.78406965732574463	0x3f48b8ca	251	uint8	181	215	1843200
768	174	/model.22/m.0/m.0.1/attn/qkv/conv/Conv_output_0_QuantizeLinear_Output	4	1x256x24x24	1	256	24	24	147456	147456	NCHWc8_SPATIAL_INNER_V1	0.10391821712255478	0x3dd4d313	111	uint8	182	185	442368
768	175	/model.22/m.0/m.0.1/attn/Split_output_1_QuantizeLinear_Output	4	1x2x32x576	1	2	32	576	36864	36864	ROW_MAJOR_U8_V1	0.060472592711448669	0x3d77b21c	131	uint8	183	187	958464
