n	k	m	mode	strategy	output_hash	kernel_calls	padded_k_lanes	padded_n_columns	status
143	7	5	1	n8n8	0x9d095693ecdcf27c	10	1	1	pass
143	7	5	1	n16	0x9d095693ecdcf27c	9	1	1	pass
143	7	5	2	n8n8	0x4eaaa723801dc412	10	1	1	pass
143	7	5	2	n16	0x4eaaa723801dc412	9	1	1	pass
144	8	6	0	n8n8	0xdbeffaeaeed71b46	9	0	0	pass
144	8	6	0	n16	0xdbeffaeaeed71b46	9	0	0	pass
144	8	6	1	n8n8	0x07ae671dbb150683	9	0	0	pass
144	8	6	1	n16	0x07ae671dbb150683	9	0	0	pass
144	8	6	2	n8n8	0x314d77f4b1ecb7c3	9	0	0	pass
144	8	6	2	n16	0x314d77f4b1ecb7c3	9	0	0	pass
145	9	7	0	n8n8	0x2498b1e10145720e	10	7	3	pass
145	9	7	0	n16	0x2498b1e10145720e	10	7	3	pass
145	9	7	1	n8n8	0x4128e686099eaf61	10	7	3	pass
145	9	7	1	n16	0x4128e686099eaf61	10	7	3	pass
145	9	7	2	n8n8	0x987e65b65d6c4b51	10	7	3	pass
145	9	7	2	n16	0x987e65b65d6c4b51	10	7	3	pass
168	15	8	0	n8n8	0x89700a36dbf942c1	11	1	0	pass
168	15	8	0	n16	0x89700a36dbf942c1	11	1	0	pass
168	15	8	1	n8n8	0xba5bd18de48d4583	11	1	0	pass
168	15	8	1	n16	0xba5bd18de48d4583	11	1	0	pass
168	15	8	2	n8n8	0xfc9c7f6e08e42db3	11	1	0	pass
168	15	8	2	n16	0xfc9c7f6e08e42db3	11	1	0	pass
169	16	9	0	n8n8	0xfbcfcc3961411e1c	12	0	3	pass
169	16	9	0	n16	0xfbcfcc3961411e1c	12	0	3	pass
169	16	9	1	n8n8	0xb33a53b1bc02c3d4	12	0	3	pass
169	16	9	1	n16	0xb33a53b1bc02c3d4	12	0	3	pass
169	16	9	2	n8n8	0x1b127b85fe99a550	12	0	3	pass
169	16	9	2	n16	0x1b127b85fe99a550	12	0	3	pass
170	17	10	0	n8n8	0x47d7227adf4e40a3	12	7	2	pass
170	17	10	0	n16	0x47d7227adf4e40a3	12	7	2	pass
170	17	10	1	n8n8	0xe0731b11c76c5049	12	7	2	pass
170	17	10	1	n16	0xe0731b11c76c5049	12	7	2	pass
170	17	10	2	n8n8	0x1ba5a121ad1b9283	12	7	2	pass
170	17	10	2	n16	0x1ba5a121ad1b9283	12	7	2	pass
195	31	11	0	n8n8	0x59ded58a97692ce0	13	1	1	pass
195	31	11	0	n16	0x59ded58a97692ce0	13	1	1	pass
195	31	11	1	n8n8	0x46c881b2fb5c2af4	13	1	1	pass
195	31	11	1	n16	0x46c881b2fb5c2af4	13	1	1	pass
195	31	11	2	n8n8	0x6df0f7e2bb837229	13	1	1	pass
195	31	11	2	n16	0x6df0f7e2bb837229	13	1	1	pass
196	32	12	0	n8n8	0x072982edee002fc5	13	0	0	pass
196	32	12	0	n16	0x072982edee002fc5	13	0	0	pass
196	32	12	1	n8n8	0xdca73de8c9eead03	13	0	0	pass
196	32	12	1	n16	0xdca73de8c9eead03	13	0	0	pass
