candidate	image_index	image	surface	score_min	score_max	score_mean	positive_score_count	score_over_0_25_count	unique_class_count	collapsed
R211_PROJECT_EXACT_SPLIT_run1	40	000000007281.jpg	source-fp32	0.000429302453994751	0.8731534481048584	0.024043675512075424	300	9	19	0
R211_PROJECT_EXACT_SPLIT_run1	40	000000007281.jpg	split-fp32	0.000429302453994751	0.8731534481048584	0.024043675512075424	300	9	19	0
R211_PROJECT_EXACT_SPLIT_run1	40	000000007281.jpg	candidate-tail-on-fp32-boundaries	0.000429302453994751	0.8731534481048584	0.024043675512075424	300	9	19	0
R211_PROJECT_EXACT_SPLIT_run1	40	000000007281.jpg	split-s8	0.0006224215030670166	0.6054585576057434	0.017776429653167725	300	7	18	0
R211_PROJECT_EXACT_SPLIT_run1	41	000000007386.jpg	source-fp32	0.00029781460762023926	0.6982189416885376	0.005178345367312431	300	1	32	0
R211_PROJECT_EXACT_SPLIT_run1	41	000000007386.jpg	split-fp32	0.00029781460762023926	0.6982189416885376	0.005178345367312431	300	1	32	0
R211_PROJECT_EXACT_SPLIT_run1	41	000000007386.jpg	candidate-tail-on-fp32-boundaries	0.00029781460762023926	0.6982189416885376	0.005178345367312431	300	1	32	0
R211_PROJECT_EXACT_SPLIT_run1	41	000000007386.jpg	split-s8	0.0003465414047241211	0.6054585576057434	0.005407543852925301	300	1	30	0
R211_PROJECT_EXACT_SPLIT_run1	42	000000007511.jpg	source-fp32	0.0013415813446044922	0.9267679452896118	0.025470929220318794	300	6	17	0
R211_PROJECT_EXACT_SPLIT_run1	42	000000007511.jpg	split-fp32	0.0013415813446044922	0.9267679452896118	0.025470929220318794	300	6	17	0
R211_PROJECT_EXACT_SPLIT_run1	42	000000007511.jpg	candidate-tail-on-fp32-boundaries	0.0013415813446044922	0.9267679452896118	0.025470929220318794	300	6	17	0
R211_PROJECT_EXACT_SPLIT_run1	42	000000007511.jpg	split-s8	0.001587510108947754	0.6054585576057434	0.021848713979125023	300	6	18	0
R211_PROJECT_EXACT_SPLIT_run1	43	000000007574.jpg	source-fp32	0.0024077892303466797	0.703095555305481	0.02411169745028019	300	6	19	0
R211_PROJECT_EXACT_SPLIT_run1	43	000000007574.jpg	split-fp32	0.0024077892303466797	0.703095555305481	0.02411169745028019	300	6	19	0
R211_PROJECT_EXACT_SPLIT_run1	43	000000007574.jpg	candidate-tail-on-fp32-boundaries	0.0024077892303466797	0.703095555305481	0.02411169745028019	300	6	19	0
