surface	kind	sha256	bytes	status
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/fixed/zidane_r640_nchw_f32-spacemit	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/performance/cpu-matched500	thermal_after	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/performance/cpu-matched500	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/performance/cpu-stability1000-profiled-partial	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-matched500	thermal_after	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-matched500	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-stability1000	thermal_after	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/performance/spacemit-stability1000	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/performance/wrapper-default-smoke-cpu	thermal_after	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/performance/wrapper-default-smoke-cpu	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/performance/wrapper-default-smoke-spacemit	thermal_after	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/performance/wrapper-default-smoke-spacemit	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/performance/wrapper-profile-optin-spacemit	thermal_after	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_PROJECT_EXACT_SPLIT_run1/performance/wrapper-profile-optin-spacemit	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/bus-cpu	thermal_after	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/bus-cpu	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/bus-spacemit	thermal_after	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/bus-spacemit	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/cpu-session-smoke	thermal_after	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/cpu-session-smoke	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-session-smoke	thermal_after	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-session-smoke	thermal_before	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
board-evidence/R211_VENDOR_LITERAL_SPLIT_run1b/spacemit-soak10000	thermal_after	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	unavailable-no-thermal-zone
