candidate	model	index	node_name	op_type	classification	axis	scale_name	scale_shape	scale_min	scale_max
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	824	PPQ_Operation_1246	DequantizeLinear	activation	NA	PPQ_Variable_2254	scalar	0.023742370307445526	0.023742370307445526
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	825	PPQ_Operation_1248	DequantizeLinear	activation	NA	PPQ_Variable_2260	scalar	0.023742370307445526	0.023742370307445526
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	826	PPQ_Operation_1250	DequantizeLinear	activation	NA	PPQ_Variable_2266	scalar	0.003908134996891022	0.003908134996891022
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	830	PPQ_Operation_1252	QuantizeLinear	activation	NA	PPQ_Variable_2272	scalar	0.018673943355679512	0.018673943355679512
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	831	PPQ_Operation_1255	QuantizeLinear	activation	NA	PPQ_Variable_2281	scalar	0.07205378264188766	0.07205378264188766
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	832	PPQ_Operation_1257	QuantizeLinear	activation	NA	PPQ_Variable_2287	scalar	0.058443911373615265	0.058443911373615265
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	833	PPQ_Operation_1253	DequantizeLinear	activation	NA	PPQ_Variable_2275	scalar	0.018673943355679512	0.018673943355679512
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	834	PPQ_Operation_1256	DequantizeLinear	activation	NA	PPQ_Variable_2284	scalar	0.07205378264188766	0.07205378264188766
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	835	PPQ_Operation_1258	DequantizeLinear	activation	NA	PPQ_Variable_2290	scalar	0.058443911373615265	0.058443911373615265
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	839	PPQ_Operation_1259	QuantizeLinear	activation	NA	PPQ_Variable_2293	scalar	0.0030693153385072947	0.0030693153385072947
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	840	PPQ_Operation_1261	QuantizeLinear	activation	NA	PPQ_Variable_2299	scalar	0.0039036760572344065	0.0039036760572344065
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	841	PPQ_Operation_1264	QuantizeLinear	activation	NA	PPQ_Variable_2308	scalar	0.23531188070774078	0.23531188070774078
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	842	PPQ_Operation_1260	DequantizeLinear	activation	NA	PPQ_Variable_2296	scalar	0.0030693153385072947	0.0030693153385072947
