candidate	model	index	node_name	op_type	classification	zero_point_name	zero_point_dtype	zero_point_shape	zero_point_min	zero_point_max	zero_point_unique_count	zero_point_values
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	67	PPQ_Operation_1242	DequantizeLinear	weight	PPQ_Variable_2243	int8	80	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	68	PPQ_Operation_1251	DequantizeLinear	weight	PPQ_Variable_2270	int8	32	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	69	PPQ_Operation_1254	DequantizeLinear	weight	PPQ_Variable_2279	int8	32	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	70	PPQ_Operation_1263	DequantizeLinear	weight	PPQ_Variable_2306	int8	80	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	71	PPQ_Operation_1272	DequantizeLinear	weight	PPQ_Variable_2333	int8	32	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	72	PPQ_Operation_1279	DequantizeLinear	weight	PPQ_Variable_2354	int8	80	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	73	PPQ_Operation_1284	DequantizeLinear	weight	PPQ_Variable_2369	int8	32	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	74	PPQ_Operation_1293	DequantizeLinear	weight	PPQ_Variable_2396	int8	32	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	75	PPQ_Operation_1300	DequantizeLinear	weight	PPQ_Variable_2417	int8	32	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	76	PPQ_Operation_1311	DequantizeLinear	weight	PPQ_Variable_2450	int8	64	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	77	PPQ_Operation_1320	DequantizeLinear	weight	PPQ_Variable_2477	int8	128	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	78	PPQ_Operation_1327	DequantizeLinear	weight	PPQ_Variable_2498	int8	128	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	79	PPQ_Operation_1330	DequantizeLinear	weight	PPQ_Variable_2507	int8	16	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	80	PPQ_Operation_1333	DequantizeLinear	weight	PPQ_Variable_2516	int8	128	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	81	PPQ_Operation_1350	DequantizeLinear	weight	PPQ_Variable_2567	int8	16	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	82	PPQ_Operation_1353	DequantizeLinear	weight	PPQ_Variable_2576	int8	80	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	83	PPQ_Operation_1356	DequantizeLinear	weight	PPQ_Variable_2585	int8	256	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	84	PPQ_Operation_1371	DequantizeLinear	weight	PPQ_Variable_2630	int8	4	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	85	PPQ_Operation_1374	DequantizeLinear	weight	PPQ_Variable_2639	int8	80	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	86	PPQ_Operation_1383	DequantizeLinear	weight	PPQ_Variable_2666	int8	64	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	87	PPQ_Operation_1390	DequantizeLinear	weight	PPQ_Variable_2687	int8	80	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	88	PPQ_Operation_1397	DequantizeLinear	weight	PPQ_Variable_2708	int8	128	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	89	PPQ_Operation_1404	DequantizeLinear	weight	PPQ_Variable_2729	int8	80	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	90	PPQ_Operation_1411	DequantizeLinear	weight	PPQ_Variable_2750	int8	256	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	91	PPQ_Operation_1424	DequantizeLinear	weight	PPQ_Variable_2789	int8	128	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	92	PPQ_Operation_1427	DequantizeLinear	activation	PPQ_Variable_2798	int8	scalar	-128	-128	1	-128
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	93	PPQ_Operation_1436	DequantizeLinear	weight	PPQ_Variable_2825	int8	128	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	94	PPQ_Operation_1441	DequantizeLinear	weight	PPQ_Variable_2840	int8	256	0	0	1	0
R211_PROJECT_EXACT_SPLIT_run1	r211_project_exact_split	95	PPQ_Operation_1448	DequantizeLinear	weight	PPQ_Variable_2861	int8	128	0	0	1	0
