arm	block	cycle	position	sample	total_us	pure_executor_us	process_cpu_us	voluntary_cs	involuntary_cs	output_hash	affinity_ok	cpu4_7_ime_count
stage58	0	76	2	154	133542	131049	657154	0	0	0xd43f5e018b415631	1	0
stage57	0	76	3	154	132427	130188	648928	2	0	0xd43f5e018b415631	1	0
stage58	0	77	0	155	133691	131412	663343	3	0	0xd43f5e018b415631	1	0
stage57	0	77	1	155	132934	130774	655005	0	0	0xd43f5e018b415631	1	0
stage57	0	77	2	156	133275	130899	650644	0	2	0xd43f5e018b415631	1	0
stage58	0	77	3	156	135816	131490	679246	0	1	0xd43f5e018b415631	1	0
stage57	0	78	0	157	132604	130416	659844	0	0	0xd43f5e018b415631	1	0
stage58	0	78	1	157	133673	131487	657591	1	1	0xd43f5e018b415631	1	0
stage58	0	78	2	158	133875	131636	666377	0	0	0xd43f5e018b415631	1	0
stage57	0	78	3	158	133110	130949	657244	1	0	0xd43f5e018b415631	1	0
stage58	0	79	0	159	135031	131735	669873	0	0	0xd43f5e018b415631	1	0
stage57	0	79	1	159	133172	130877	655038	0	0	0xd43f5e018b415631	1	0
stage57	0	79	2	160	133010	130814	649298	0	3	0xd43f5e018b415631	1	0
stage58	0	79	3	160	134938	131136	662353	0	0	0xd43f5e018b415631	1	0
stage57	0	80	0	161	133205	130909	663873	0	2	0xd43f5e018b415631	1	0
stage58	0	80	1	161	133638	131433	658707	2	0	0xd43f5e018b415631	1	0
stage58	0	80	2	162	133385	131174	667190	0	0	0xd43f5e018b415631	1	0
stage57	0	80	3	162	135286	130994	662528	0	0	0xd43f5e018b415631	1	0
stage58	0	81	0	163	132970	130760	662190	0	0	0xd43f5e018b415631	1	0
stage57	0	81	1	163	134147	130724	658603	0	1	0xd43f5e018b415631	1	0
stage57	0	81	2	164	132712	130397	663796	0	1	0xd43f5e018b415631	1	0
stage58	0	81	3	164	136182	131513	679449	0	0	0xd43f5e018b415631	1	0
stage57	0	82	0	165	133512	131171	659168	1	1	0xd43f5e018b415631	1	0
stage58	0	82	1	165	134763	131495	669583	0	0	0xd43f5e018b415631	1	0
stage58	0	82	2	166	133817	131320	656829	0	0	0xd43f5e018b415631	1	0
stage57	0	82	3	166	133007	130479	663839	0	0	0xd43f5e018b415631	1	0
stage58	0	83	0	167	133475	131286	659390	1	1	0xd43f5e018b415631	1	0
stage57	0	83	1	167	132973	130774	652129	0	1	0xd43f5e018b415631	1	0
