surface	repeat	run	wall_us	input_us	core_us	dense_us	depthwise_us	attention_us	lut_us	concat_us	transform_us	head_us	process_cpu_us	voluntary_cs	involuntary_cs	affinity_ok	cpu4_7_ime_count	hash
stage56_compatibility_500	0	79	157045	3479.89	21654.5	75533.1	16293.5	17495.1	10154.8	6175.67	3383.09	2739.91	580052	1253	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	80	156568	2705.61	21640.2	75983.2	16350.4	17349.1	10141.2	5989.33	3437.05	2847.37	581006	1221	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	81	156104	2689.16	21545.8	75505.6	16423	17385.9	10104.2	6061.96	3398.26	2861.95	580088	1231	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	82	156469	2648.99	21556.7	76365.6	16243.7	17397.5	9892.88	5923.58	3388.17	2920.16	579678	1211	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	83	156366	2469.69	21510	75850.6	16480.2	17574	10068.4	5874.9	3387.63	3015	577752	1211	6	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	84	157011	2656.82	21759.6	76096.1	16325	17508.2	10183.9	6120.58	3318.26	2908.62	580745	1225	2	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	85	155527	2670.16	21616.7	75285	16199.4	17483.5	9939.35	5935.91	3359.55	2904.62	577352	1217	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	86	156031	2574.99	21537.7	75606.7	16358.1	17482.6	10046.1	6022.45	3315.88	2909.74	579077	1228	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	87	156028	2623.78	21607.4	75391.6	16502	17501.2	10147.9	5949.54	3281	2893.2	579789	1215	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	88	159382	2669.99	21612.3	78246.3	16637.9	17453.4	10273.4	6011.16	3409.17	2938.5	582860	1221	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	89	155889	2684.86	21536.2	75780.4	16159.9	17443.1	9899.56	5962.28	3395.92	2891.62	579341	1213	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	90	156420	2657.9	21585.1	76037.3	16206.9	17503.8	10144.3	6063.25	3342.3	2749.53	579256	1229	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	91	155932	2708.99	21687.7	75980.6	16356.6	17361.1	9778.26	5965.87	3342.34	2620.86	579526	1219	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	92	155653	2534.07	21477.2	75714.1	16201.5	17466.3	10054.7	5963.95	3355.63	2748.11	578317	1226	2	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	93	155763	2557.82	21578.3	75296.4	16400.8	17536.3	9952.06	6179.29	3375.5	2710.82	579071	1230	1	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	94	155784	2546.24	21500.6	75816.4	16237.7	17496.5	9901.64	5944.57	3480.42	2732.86	578514	1233	0	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	95	156487	2502.69	21605.8	75818	16426.2	17507.8	10265.5	6013.32	3376.05	2843.66	580046	1235	2	1	0	0xd43f5e018b415631
stage56_compatibility_500	0	96	156597	2590.11	21753.2	76110.9	16196.1	17339	9920.31	6208.66	3491.22	2854.95	579769	1229	0	1	0	0xd43f5e018b415631
