arm	group_event	operation_index	M	N	K	worker	worker_cpu	event	status	errno	event_id	iteration_count	raw_u64	time_enabled	time_running
e2c5	instructions	144	6400	80	80	1	1	instructions	available	0	490	10	14987692	13091042	13091042
e2c5	instructions	144	6400	80	80	2	2	cycles	available	0	491	10	20606700	12871957	12871957
e2c5	instructions	144	6400	80	80	2	2	instructions	available	0	492	10	14856035	12871957	12871957
e2c5	instructions	144	6400	80	80	3	3	cycles	available	0	495	10	21418282	13428083	13428083
e2c5	instructions	144	6400	80	80	3	3	instructions	available	0	496	10	14998728	13428083	13428083
e2c5	instructions	206	400	80	256	0	0	cycles	available	0	493	10	2431097	1524457	1524457
e2c5	instructions	206	400	80	256	0	0	instructions	available	0	494	10	1184544	1524457	1524457
e2c5	instructions	206	400	80	256	1	1	cycles	available	0	489	10	2609077	1646498	1646498
e2c5	instructions	206	400	80	256	1	1	instructions	available	0	490	10	1327717	1646498	1646498
e2c5	instructions	206	400	80	256	2	2	cycles	available	0	491	10	2446550	1531622	1531622
e2c5	instructions	206	400	80	256	2	2	instructions	available	0	492	10	1184007	1531622	1531622
e2c5	instructions	206	400	80	256	3	3	cycles	available	0	495	10	2564184	1620456	1620456
e2c5	instructions	206	400	80	256	3	3	instructions	available	0	496	10	1322583	1620456	1620456
e2c5	instructions	161	1600	16	1152	0	0	cycles	available	0	493	10	20266242	12675959	12675959
e2c5	instructions	161	1600	16	1152	0	0	instructions	available	0	494	10	12430597	12675959	12675959
e2c5	instructions	161	1600	16	1152	1	1	cycles	available	0	489	10	20929092	13100540	13100540
e2c5	instructions	161	1600	16	1152	1	1	instructions	available	0	490	10	12858145	13100540	13100540
e2c5	instructions	161	1600	16	1152	2	2	cycles	available	0	491	10	20250316	12666167	12666167
e2c5	instructions	161	1600	16	1152	2	2	instructions	available	0	492	10	12380321	12666167	12666167
e2c5	instructions	161	1600	16	1152	3	3	cycles	available	0	495	10	20547365	12863709	12863709
e2c5	instructions	161	1600	16	1152	3	3	instructions	available	0	496	10	12788374	12863709	12863709
e2c5	instructions	201	400	16	2304	0	0	cycles	available	0	493	10	8835801	5522874	5522874
e2c5	instructions	201	400	16	2304	0	0	instructions	available	0	494	10	6247510	5522874	5522874
e2c5	instructions	201	400	16	2304	1	1	cycles	available	0	489	10	10260810	6433833	6433833
e2c5	instructions	201	400	16	2304	1	1	instructions	available	0	490	10	7162892	6433833	6433833
e2c5	instructions	201	400	16	2304	2	2	cycles	available	0	491	10	9017009	5650207	5650207
e2c5	instructions	201	400	16	2304	2	2	instructions	available	0	492	10	6227880	5650207	5650207
e2c5	instructions	201	400	16	2304	3	3	cycles	available	0	495	10	9887361	6205373	6205373
e2c5	instructions	201	400	16	2304	3	3	instructions	available	0	496	10	6910045	6205373	6205373
e2c5	l1d_read_miss	5	25600	32	32	0	0	cycles	available	0	505	10	27183427	17001708	17001708
e2c5	l1d_read_miss	5	25600	32	32	0	0	l1d_read_miss	available	0	507	10	66116	17001708	17001708
e2c5	l1d_read_miss	5	25600	32	32	1	1	cycles	available	0	509	10	26880044	16790336	16790336
e2c5	l1d_read_miss	5	25600	32	32	1	1	l1d_read_miss	available	0	510	10	65147	16790336	16790336
e2c5	l1d_read_miss	5	25600	32	32	2	2	cycles	available	0	506	10	26815008	16728333	16728333
e2c5	l1d_read_miss	5	25600	32	32	2	2	l1d_read_miss	available	0	508	10	66861	16728333	16728333
e2c5	l1d_read_miss	5	25600	32	32	3	3	cycles	available	0	511	10	27003078	16894789	16894789
e2c5	l1d_read_miss	5	25600	32	32	3	3	l1d_read_miss	available	0	512	10	66716	16894789	16894789
e2c5	l1d_read_miss	12	25600	64	48	0	0	cycles	available	0	505	10	70648223	44146957	44146957
e2c5	l1d_read_miss	12	25600	64	48	0	0	l1d_read_miss	available	0	507	10	297741	44146957	44146957
e2c5	l1d_read_miss	12	25600	64	48	1	1	cycles	available	0	509	10	70600079	44133541	44133541
e2c5	l1d_read_miss	12	25600	64	48	1	1	l1d_read_miss	available	0	510	10	303362	44133541	44133541
e2c5	l1d_read_miss	12	25600	64	48	2	2	cycles	available	0	506	10	70325413	43953164	43953164
e2c5	l1d_read_miss	12	25600	64	48	2	2	l1d_read_miss	available	0	508	10	301558	43953164	43953164
e2c5	l1d_read_miss	12	25600	64	48	3	3	cycles	available	0	511	10	70384287	43966668	43966668
e2c5	l1d_read_miss	12	25600	64	48	3	3	l1d_read_miss	available	0	512	10	297311	43966668	43966668
e2c5	l1d_read_miss	124	6400	64	96	0	0	cycles	available	0	505	10	19385558	12131082	12131082
e2c5	l1d_read_miss	124	6400	64	96	0	0	l1d_read_miss	available	0	507	10	53631	12131082	12131082
e2c5	l1d_read_miss	124	6400	64	96	1	1	cycles	available	0	509	10	21056505	13200585	13200585
e2c5	l1d_read_miss	124	6400	64	96	1	1	l1d_read_miss	available	0	510	10	64568	13200585	13200585
e2c5	l1d_read_miss	124	6400	64	96	2	2	cycles	available	0	506	10	18157479	11329167	11329167
e2c5	l1d_read_miss	124	6400	64	96	2	2	l1d_read_miss	available	0	508	10	50374	11329167	11329167
e2c5	l1d_read_miss	124	6400	64	96	3	3	cycles	available	0	511	10	20863085	13047877	13047877
e2c5	l1d_read_miss	124	6400	64	96	3	3	l1d_read_miss	available	0	512	10	60807	13047877	13047877
e2c5	l1d_read_miss	133	6400	80	64	0	0	cycles	available	0	505	10	18087150	11323959	11323959
e2c5	l1d_read_miss	133	6400	80	64	0	0	l1d_read_miss	available	0	507	10	27880	11323959	11323959
e2c5	l1d_read_miss	133	6400	80	64	1	1	cycles	available	0	509	10	17879700	11177043	11177043
e2c5	l1d_read_miss	133	6400	80	64	1	1	l1d_read_miss	available	0	510	10	26920	11177043	11177043
e2c5	l1d_read_miss	133	6400	80	64	2	2	cycles	available	0	506	10	17679794	11024790	11024790
e2c5	l1d_read_miss	133	6400	80	64	2	2	l1d_read_miss	available	0	508	10	24859	11024790	11024790
e2c5	l1d_read_miss	133	6400	80	64	3	3	cycles	available	0	511	10	18021396	11286704	11286704
e2c5	l1d_read_miss	133	6400	80	64	3	3	l1d_read_miss	available	0	512	10	27176	11286704	11286704
e2c5	l1d_read_miss	144	6400	80	80	0	0	cycles	available	0	505	10	20827820	13040918	13040918
e2c5	l1d_read_miss	144	6400	80	80	0	0	l1d_read_miss	available	0	507	10	45968	13040918	13040918
e2c5	l1d_read_miss	144	6400	80	80	1	1	cycles	available	0	509	10	20708748	12924623	12924623
e2c5	l1d_read_miss	144	6400	80	80	1	1	l1d_read_miss	available	0	510	10	46388	12924623	12924623
e2c5	l1d_read_miss	144	6400	80	80	2	2	cycles	available	0	506	10	20846694	13043166	13043166
e2c5	l1d_read_miss	144	6400	80	80	2	2	l1d_read_miss	available	0	508	10	47136	13043166	13043166
e2c5	l1d_read_miss	144	6400	80	80	3	3	cycles	available	0	511	10	20889349	13058249	13058249
e2c5	l1d_read_miss	144	6400	80	80	3	3	l1d_read_miss	available	0	512	10	47797	13058249	13058249
e2c5	l1d_read_miss	206	400	80	256	0	0	cycles	available	0	505	10	2439777	1528875	1528875
e2c5	l1d_read_miss	206	400	80	256	0	0	l1d_read_miss	available	0	507	10	11102	1528875	1528875
e2c5	l1d_read_miss	206	400	80	256	1	1	cycles	available	0	509	10	2653770	1673539	1673539
e2c5	l1d_read_miss	206	400	80	256	1	1	l1d_read_miss	available	0	510	10	11972	1673539	1673539
e2c5	l1d_read_miss	206	400	80	256	2	2	cycles	available	0	506	10	2410192	1503125	1503125
e2c5	l1d_read_miss	206	400	80	256	2	2	l1d_read_miss	available	0	508	10	10729	1503125	1503125
e2c5	l1d_read_miss	206	400	80	256	3	3	cycles	available	0	511	10	2548706	1610083	1610083
e2c5	l1d_read_miss	206	400	80	256	3	3	l1d_read_miss	available	0	512	10	10615	1610083	1610083
e2c5	l1d_read_miss	161	1600	16	1152	0	0	cycles	available	0	505	10	20282875	12674249	12674249
e2c5	l1d_read_miss	161	1600	16	1152	0	0	l1d_read_miss	available	0	507	10	70032	12674249	12674249
e2c5	l1d_read_miss	161	1600	16	1152	1	1	cycles	available	0	509	10	20869156	13059042	13059042
e2c5	l1d_read_miss	161	1600	16	1152	1	1	l1d_read_miss	available	0	510	10	72067	13059042	13059042
e2c5	l1d_read_miss	161	1600	16	1152	2	2	cycles	available	0	506	10	20191634	12633334	12633334
e2c5	l1d_read_miss	161	1600	16	1152	2	2	l1d_read_miss	available	0	508	10	70315	12633334	12633334
e2c5	l1d_read_miss	161	1600	16	1152	3	3	cycles	available	0	511	10	20600490	12901169	12901169
e2c5	l1d_read_miss	161	1600	16	1152	3	3	l1d_read_miss	available	0	512	10	70538	12901169	12901169
e2c5	l1d_read_miss	201	400	16	2304	0	0	cycles	available	0	505	10	8800283	5504707	5504707
e2c5	l1d_read_miss	201	400	16	2304	0	0	l1d_read_miss	available	0	507	10	13667	5504707	5504707
e2c5	l1d_read_miss	201	400	16	2304	1	1	cycles	available	0	509	10	10153270	6368539	6368539
e2c5	l1d_read_miss	201	400	16	2304	1	1	l1d_read_miss	available	0	510	10	16367	6368539	6368539
e2c5	l1d_read_miss	201	400	16	2304	2	2	cycles	available	0	506	10	8860510	5545665	5545665
e2c5	l1d_read_miss	201	400	16	2304	2	2	l1d_read_miss	available	0	508	10	14217	5545665	5545665
e2c5	l1d_read_miss	201	400	16	2304	3	3	cycles	available	0	511	10	9777097	6140374	6140374
e2c5	l1d_read_miss	201	400	16	2304	3	3	l1d_read_miss	available	0	512	10	17703	6140374	6140374
