topological_index	node_name	op_type	domain	producer_output_index	output_tensor	shape	dtype	consumer_count	consumer_nodes	architecture_region	residual_concat_attention_membership
63	/model.6/m.0/m/m.1/cv2/act/Sigmoid	Sigmoid	ai.onnx	0	/model.6/m.0/m/m.1/cv2/act/Sigmoid_output_0	1x32x40x40	FLOAT	1	/model.6/m.0/m/m.1/cv2/act/Mul	R1	none
64	/model.6/m.0/m/m.1/cv2/act/Mul	Mul	ai.onnx	0	/model.6/m.0/m/m.1/cv2/act/Mul_output_0	1x32x40x40	FLOAT	1	/model.6/m.0/m/m.1/Add	R1	none
65	/model.6/m.0/m/m.1/Add	Add	ai.onnx	0	/model.6/m.0/m/m.1/Add_output_0	1x32x40x40	FLOAT	1	/model.6/m.0/Concat	R1	residual
66	/model.6/m.0/cv2/conv/Conv	Conv	ai.onnx	0	/model.6/m.0/cv2/conv/Conv_output_0	1x32x40x40	FLOAT	2	/model.6/m.0/cv2/act/Sigmoid;/model.6/m.0/cv2/act/Mul	R1	none
67	/model.6/m.0/cv2/act/Sigmoid	Sigmoid	ai.onnx	0	/model.6/m.0/cv2/act/Sigmoid_output_0	1x32x40x40	FLOAT	1	/model.6/m.0/cv2/act/Mul	R1	none
68	/model.6/m.0/cv2/act/Mul	Mul	ai.onnx	0	/model.6/m.0/cv2/act/Mul_output_0	1x32x40x40	FLOAT	1	/model.6/m.0/Concat	R1	none
69	/model.6/m.0/Concat	Concat	ai.onnx	0	/model.6/m.0/Concat_output_0	1x64x40x40	FLOAT	1	/model.6/m.0/cv3/conv/Conv	R1	concat
70	/model.6/m.0/cv3/conv/Conv	Conv	ai.onnx	0	/model.6/m.0/cv3/conv/Conv_output_0	1x64x40x40	FLOAT	2	/model.6/m.0/cv3/act/Sigmoid;/model.6/m.0/cv3/act/Mul	R1	none
71	/model.6/m.0/cv3/act/Sigmoid	Sigmoid	ai.onnx	0	/model.6/m.0/cv3/act/Sigmoid_output_0	1x64x40x40	FLOAT	1	/model.6/m.0/cv3/act/Mul	R1	none
72	/model.6/m.0/cv3/act/Mul	Mul	ai.onnx	0	/model.6/m.0/cv3/act/Mul_output_0	1x64x40x40	FLOAT	1	/model.6/Concat	R1	none
73	/model.6/Concat	Concat	ai.onnx	0	/model.6/Concat_output_0	1x192x40x40	FLOAT	1	/model.6/cv2/conv/Conv	R1	concat
74	/model.6/cv2/conv/Conv	Conv	ai.onnx	0	/model.6/cv2/conv/Conv_output_0	1x128x40x40	FLOAT	2	/model.6/cv2/act/Sigmoid;/model.6/cv2/act/Mul	R1	none
75	/model.6/cv2/act/Sigmoid	Sigmoid	ai.onnx	0	/model.6/cv2/act/Sigmoid_output_0	1x128x40x40	FLOAT	1	/model.6/cv2/act/Mul	R1	none
76	/model.6/cv2/act/Mul	Mul	ai.onnx	0	/model.6/cv2/act/Mul_output_0	1x128x40x40	FLOAT	2	/model.7/conv/Conv;/model.12/Concat	R1	none
77	/model.7/conv/Conv	Conv	ai.onnx	0	/model.7/conv/Conv_output_0	1x256x20x20	FLOAT	2	/model.7/act/Sigmoid;/model.7/act/Mul	R2	none
78	/model.7/act/Sigmoid	Sigmoid	ai.onnx	0	/model.7/act/Sigmoid_output_0	1x256x20x20	FLOAT	1	/model.7/act/Mul	R2	none
79	/model.7/act/Mul	Mul	ai.onnx	0	/model.7/act/Mul_output_0	1x256x20x20	FLOAT	1	/model.8/cv1/conv/Conv	R2	none
80	/model.8/cv1/conv/Conv	Conv	ai.onnx	0	/model.8/cv1/conv/Conv_output_0	1x256x20x20	FLOAT	2	/model.8/cv1/act/Sigmoid;/model.8/cv1/act/Mul	R2	none
81	/model.8/cv1/act/Sigmoid	Sigmoid	ai.onnx	0	/model.8/cv1/act/Sigmoid_output_0	1x256x20x20	FLOAT	1	/model.8/cv1/act/Mul	R2	none
82	/model.8/cv1/act/Mul	Mul	ai.onnx	0	/model.8/cv1/act/Mul_output_0	1x256x20x20	FLOAT	1	/model.8/Split	R2	none
83	Constant_130	Constant	ai.onnx	0	onnx::Split_292	2	INT64	3	/model.8/Split;/model.10/Split;/model.22/Split	non-module-constant-or-helper	none
84	/model.8/Split	Split	ai.onnx	0	/model.8/Split_output_0	1x128x20x20	FLOAT	1	/model.8/Concat	R2	none
84	/model.8/Split	Split	ai.onnx	1	/model.8/Split_output_1	1x128x20x20	FLOAT	3	/model.8/m.0/cv1/conv/Conv;/model.8/m.0/cv2/conv/Conv;/model.8/Concat	R2	none
85	/model.8/m.0/cv1/conv/Conv	Conv	ai.onnx	0	/model.8/m.0/cv1/conv/Conv_output_0	1x64x20x20	FLOAT	2	/model.8/m.0/cv1/act/Sigmoid;/model.8/m.0/cv1/act/Mul	R2	none
86	/model.8/m.0/cv1/act/Sigmoid	Sigmoid	ai.onnx	0	/model.8/m.0/cv1/act/Sigmoid_output_0	1x64x20x20	FLOAT	1	/model.8/m.0/cv1/act/Mul	R2	none
87	/model.8/m.0/cv1/act/Mul	Mul	ai.onnx	0	/model.8/m.0/cv1/act/Mul_output_0	1x64x20x20	FLOAT	2	/model.8/m.0/m/m.0/cv1/conv/Conv;/model.8/m.0/m/m.0/Add	R2	none
88	/model.8/m.0/m/m.0/cv1/conv/Conv	Conv	ai.onnx	0	/model.8/m.0/m/m.0/cv1/conv/Conv_output_0	1x64x20x20	FLOAT	2	/model.8/m.0/m/m.0/cv1/act/Sigmoid;/model.8/m.0/m/m.0/cv1/act/Mul	R2	none
89	/model.8/m.0/m/m.0/cv1/act/Sigmoid	Sigmoid	ai.onnx	0	/model.8/m.0/m/m.0/cv1/act/Sigmoid_output_0	1x64x20x20	FLOAT	1	/model.8/m.0/m/m.0/cv1/act/Mul	R2	none
90	/model.8/m.0/m/m.0/cv1/act/Mul	Mul	ai.onnx	0	/model.8/m.0/m/m.0/cv1/act/Mul_output_0	1x64x20x20	FLOAT	1	/model.8/m.0/m/m.0/cv2/conv/Conv	R2	none
