phase	block	slot	model	provider	metric	samples	mean_us	stddev_us	cv_pct	median_us	p90_us	p95_us	p99_us	p999_us	min_us	max_us	resource_samples	steady_resource_samples	terminal_samples_excluded	rss_startup_first_kib	rss_min_kib	rss_max_kib	hwm_max_kib	fds_min	fds_max	threads_min	threads_max
noise_b2	2	2	B2	spacemit	inference	100	101193.15194	3269.6928361873493	3.231140421563342	100365.662	103148.709	105101.73525	114005.63401000004	120380.11620099998	98782.421	121088.392	47	16	1	1280	88284	88284	88284	4	4	11	11
noise_b2	2	2	B2	spacemit	tail	100	14984.85267	1151.193859576881	7.682383570454424	14663.503	15417.663199999999	15515.61445	20131.52651000002	24102.491650999982	14507.354	24543.71	47	16	1	1280	88284	88284	88284	4	4	11	11
noise_b2	2	2	B2	spacemit	two_stage	100	116178.00460999999	4047.36169342209	3.4837590015500357	115328.3185	117996.82079999999	120526.48064999998	134368.43770000004	140494.65966999996	113327.858	141175.351	47	16	1	1280	88284	88284	88284	4	4	11	11
noise_b2	2	3	B2	spacemit	inference	100	100297.54884999999	1773.481999286813	1.7682206789910133	100074.8115	102321.06509999999	102716.7715	103334.69933000003	110287.55813299997	98011.143	111060.098	47	16	1	1152	88540	88540	88540	4	4	11	11
noise_b2	2	3	B2	spacemit	tail	100	14817.3992	308.887933557323	2.0846298961650636	14657.896	15288.9282	15344.7069	15545.883440000001	15676.899644000001	14518.686	15691.457	47	16	1	1152	88540	88540	88540	4	4	11	11
noise_b2	2	3	B2	spacemit	two_stage	100	115114.94804999999	1869.243108165249	1.6238057175279672	115007.196	117249.1537	117582.89805	118234.94838000005	125446.02343799997	112567.161	126247.254	47	16	1	1152	88540	88540	88540	4	4	11	11
noise_b2	3	0	B2	spacemit	inference	100	100583.77610999999	1833.1120786747306	1.8224729171730545	100210.5675	102661.16799999999	103201.03255	106130.49509000003	110178.04880899999	98309.725	110627.777	47	16	1	896	88796	88796	88796	4	4	11	11
noise_b2	3	0	B2	spacemit	tail	100	14920.65263	383.23639481919423	2.5684961933142616	14747.062	15435.387700000001	15592.6993	16085.872380000004	16783.202837999997	14605.101	16860.684	47	16	1	896	88796	88796	88796	4	4	11	11
noise_b2	3	0	B2	spacemit	two_stage	100	115504.42874	1971.1758969267617	1.7065803609694228	115173.98749999999	117662.44600000001	118048.13215	120921.84456000004	125678.05245599998	113112.368	126206.52	47	16	1	896	88796	88796	88796	4	4	11	11
noise_b2	3	1	B2	spacemit	inference	100	100620.15254000001	1881.6975732481742	1.8701000999776203	100240.21650000001	102666.7215	103404.06725	105815.06791000003	110806.62009099998	98312.745	111361.237	47	16	1	1408	88796	88796	88796	4	4	11	11
noise_b2	3	1	B2	spacemit	tail	100	14890.580730000001	306.8030359146426	2.0603832817381496	14738.206	15340.4761	15434.859799999998	15648.800170000004	16054.844016999998	14557.807	16099.96	47	16	1	1408	88796	88796	88796	4	4	11	11
noise_b2	3	1	B2	spacemit	two_stage	100	115510.73327	2026.7445163373586	1.7545941047746225	115288.09950000001	117775.60650000001	118464.44395	120468.93986000004	126761.97128599997	112999.928	127461.197	47	16	1	1408	88796	88796	88796	4	4	11	11
noise_b2	3	2	B2	spacemit	inference	100	100682.26455	1767.217246411147	1.755241853478103	99938.199	103124.99859999999	103886.00639999998	105284.40516000001	107200.871316	98760.029	107413.812	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_b2	3	2	B2	spacemit	tail	100	14846.78982	309.589368141495	2.085227661298535	14695.265	15381.857100000001	15455.68385	15573.15975	15595.768875000002	14527.722	15598.281	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_b2	3	2	B2	spacemit	two_stage	100	115529.05437000001	1889.3483851438007	1.6353880809002943	114760.8455	117979.43	118693.5672	119844.03459000001	122695.28715899998	113400.671	123012.093	47	16	1	1408	88412	88412	88412	4	4	11	11
noise_b2	3	3	B2	spacemit	inference	100	100306.03620999999	1874.876577895273	1.8691562828482673	99568.7215	102635.2501	103673.54295	105557.57943000001	108678.25614299999	98195.803	109024.998	47	16	1	1408	88412	88412	88412	4	4	11	11
