surface	model	scope	provider	score_threshold	iou_threshold	max_dets	area	tp	fp	fn	precision	recall	f1	detections	detections_per_image	ignored_detections	ignored_ground_truths
FP32_HOST	FP32	host	CPU	0.01	0.75	300	medium	8805	55799	3587	0.13629187047241656	0.7105390574564235	0.22871317990544962	198333	39.6666	133729	24389
FP32_HOST	FP32	host	CPU	0.05	0.5	300	medium	9511	12854	2881	0.4252626872345182	0.7675112976113622	0.5472854389043934	62002	12.4004	39637	24389
FP32_HOST	FP32	host	CPU	0.05	0.75	300	medium	7753	14690	4639	0.3454529251882547	0.6256455777921239	0.44512702741495624	62002	12.4004	39559	24389
FP32_HOST	FP32	host	CPU	0.25	0.5	300	medium	7258	1896	5134	0.7928774306314179	0.5857004519044545	0.6737213403880071	23008	4.6016	13854	24389
FP32_HOST	FP32	host	CPU	0.25	0.75	300	medium	6085	2942	6307	0.6740888445773789	0.4910426081342802	0.5681871235818665	23008	4.6016	13981	24389
FP32_HOST	FP32	host	CPU	0.5	0.5	300	medium	5256	462	7136	0.919202518363064	0.42414460942543575	0.5804527885146328	14238	2.8476	8520	24389
FP32_HOST	FP32	host	CPU	0.5	0.75	300	medium	4607	973	7785	0.8256272401433692	0.37177211103938024	0.5126864010683285	14238	2.8476	8658	24389
FP32_HOST	FP32	host	CPU	0.001	0.5	300	small	11004	291058	4260	0.0364296071667406	0.7209119496855346	0.06935454390752728	732374	146.4748	430312	21517
FP32_HOST	FP32	host	CPU	0.001	0.75	300	small	6437	294940	8827	0.021358630552431007	0.42171121593291405	0.04065803228261659	732374	146.4748	430997	21517
FP32_HOST	FP32	host	CPU	0.01	0.5	300	small	9333	62465	5931	0.12998969330622023	0.6114386792452831	0.21439893409294525	198333	39.6666	126535	21517
FP32_HOST	FP32	host	CPU	0.01	0.75	300	small	5397	65299	9867	0.07634095281204029	0.3535770440251572	0.12557003257328989	198333	39.6666	127637	21517
FP32_HOST	FP32	host	CPU	0.05	0.5	300	small	6653	10183	8611	0.39516512235685436	0.43586215932914046	0.4145171339563863	62002	12.4004	45166	21517
FP32_HOST	FP32	host	CPU	0.05	0.75	300	small	3970	11879	11294	0.25048898984163037	0.26008909853249473	0.2551987915019445	62002	12.4004	46153	21517
FP32_HOST	FP32	host	CPU	0.25	0.5	300	small	3236	794	12028	0.8029776674937965	0.2120020964360587	0.3354410697626205	23008	4.6016	18978	21517
FP32_HOST	FP32	host	CPU	0.25	0.75	300	small	2257	1368	13007	0.6226206896551724	0.14786425576519915	0.23897506485255968	23008	4.6016	19383	21517
FP32_HOST	FP32	host	CPU	0.5	0.5	300	small	1534	103	13730	0.937080024434942	0.1004979035639413	0.18152772025323943	14238	2.8476	12601	21517
FP32_HOST	FP32	host	CPU	0.5	0.75	300	small	1214	270	14050	0.8180592991913747	0.07953354297693921	0.1449725340339145	14238	2.8476	12754	21517
B2_HOST	B2	host	CPU	0.001	0.5	100	all	30233	535105	6102	0.05347774251863487	0.8320627494151644	0.10049644906784916	591486	118.2972	26148	446
B2_HOST	B2	host	CPU	0.001	0.75	100	all	23187	542389	13148	0.0409971427359011	0.6381450392183845	0.07704461290788837	591486	118.2972	25910	446
B2_HOST	B2	host	CPU	0.01	0.5	100	all	26778	101150	9557	0.2093208679882434	0.7369753681023806	0.3260381217924913	143734	28.7468	15806	446
B2_HOST	B2	host	CPU	0.01	0.75	100	all	20395	107190	15940	0.15985421483716739	0.5613045273152608	0.24884089799902392	143734	28.7468	16149	446
B2_HOST	B2	host	CPU	0.05	0.5	100	all	21517	19763	14818	0.5212451550387597	0.5921838447777625	0.5544546801520324	44190	8.838	2910	446
B2_HOST	B2	host	CPU	0.05	0.75	100	all	17036	23784	19299	0.41734443900048995	0.4688592266409798	0.4416045622448318	44190	8.838	3370	446
B2_HOST	B2	host	CPU	0.25	0.5	100	all	14441	2698	21894	0.8425812474473423	0.3974404843814504	0.5401129520888657	17432	3.4864	293	446
B2_HOST	B2	host	CPU	0.25	0.75	100	all	12457	4556	23878	0.7322047845765003	0.34283748451905877	0.46700907250506113	17432	3.4864	419	446
B2_HOST	B2	host	CPU	0.5	0.5	100	all	9804	810	26531	0.9236856981345393	0.2698224852071006	0.41764467826790774	10670	2.134	56	446
B2_HOST	B2	host	CPU	0.5	0.75	100	all	8930	1659	27405	0.8433279818679762	0.24576854272739782	0.38061546330236123	10670	2.134	81	446
B2_HOST	B2	host	CPU	0.001	0.5	100	large	8442	134227	237	0.059171929431060706	0.9726927065330108	0.11155747020112589	591486	118.2972	448817	28102
