index	block	name	op_type	inputs	outputs	output_shapes	output_dtypes	output_bytes	macs	flops_2_per_mac	mac_status
666	model.16	/model.16/m.0/m/m.0/cv2/conv/Conv	Conv	/model.16/m.0/m/m.0/cv1/act/Mul_output_0_DequantizeLinear_Output;model.16.m.0.m.0.cv2.conv.weight_DequantizeLinear_Output;model.16.m.0.m.0.cv2.conv.bias	/model.16/m.0/m/m.0/cv2/conv/Conv_output_0	1x16x80x80	FLOAT	409600	14745600	29491200	static
674	model.16	/model.16/m.0/m/m.1/cv1/conv/Conv	Conv	/model.16/m.0/m/m.0/Add_output_0_DequantizeLinear_Output;model.16.m.0.m.1.cv1.conv.weight_DequantizeLinear_Output;model.16.m.0.m.1.cv1.conv.bias	/model.16/m.0/m/m.1/cv1/conv/Conv_output_0	1x16x80x80	FLOAT	409600	14745600	29491200	static
681	model.16	/model.16/m.0/m/m.1/cv2/conv/Conv	Conv	/model.16/m.0/m/m.1/cv1/act/Mul_output_0_DequantizeLinear_Output;model.16.m.0.m.1.cv2.conv.weight_DequantizeLinear_Output;model.16.m.0.m.1.cv2.conv.bias	/model.16/m.0/m/m.1/cv2/conv/Conv_output_0	1x16x80x80	FLOAT	409600	14745600	29491200	static
690	model.16	/model.16/m.0/cv3/conv/Conv	Conv	/model.16/m.0/Concat_output_0_DequantizeLinear_Output;model.16.m.0.cv3.conv.weight_DequantizeLinear_Output;model.16.m.0.cv3.conv.bias	/model.16/m.0/cv3/conv/Conv_output_0	1x32x80x80	FLOAT	819200	6553600	13107200	static
698	model.16	/model.16/cv2/conv/Conv	Conv	/model.16/Concat_output_0_DequantizeLinear_Output;model.16.cv2.conv.weight_DequantizeLinear_Output;model.16.cv2.conv.bias	/model.16/cv2/conv/Conv_output_0	1x64x80x80	FLOAT	1638400	39321600	78643200	static
705	model.17	/model.17/conv/Conv	Conv	/model.16/cv2/act/Mul_output_0_DequantizeLinear_Output;model.17.conv.weight_DequantizeLinear_Output;model.17.conv.bias	/model.17/conv/Conv_output_0	1x64x40x40	FLOAT	409600	58982400	117964800	static
706	model.23	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	Conv	/model.16/cv2/act/Mul_output_0_DequantizeLinear_Output;model.23.one2one_cv2.0.0.conv.weight_DequantizeLinear_Output;model.23.one2one_cv2.0.0.conv.bias	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv_output_0	1x16x80x80	FLOAT	409600	58982400	117964800	static
707	model.23	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv	Conv	/model.16/cv2/act/Mul_output_0_DequantizeLinear_Output;model.23.one2one_cv3.0.0.0.conv.weight_DequantizeLinear_Output;model.23.one2one_cv3.0.0.0.conv.bias	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv_output_0	1x64x80x80	FLOAT	1638400	3686400	7372800	static
727	model.23	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv	Conv	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul_output_0_DequantizeLinear_Output;model.23.one2one_cv2.0.1.conv.weight_DequantizeLinear_Output;model.23.one2one_cv2.0.1.conv.bias	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv_output_0	1x16x80x80	FLOAT	409600	14745600	29491200	static
728	model.23	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	Conv	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul_output_0_DequantizeLinear_Output;model.23.one2one_cv3.0.0.1.conv.weight_DequantizeLinear_Output;model.23.one2one_cv3.0.0.1.conv.bias	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv_output_0	1x80x80x80	FLOAT	2048000	32768000	65536000	static
729	model.19	/model.19/cv1/conv/Conv	Conv	/model.18/Concat_output_0_DequantizeLinear_Output;model.19.cv1.conv.weight_DequantizeLinear_Output;model.19.cv1.conv.bias	/model.19/cv1/conv/Conv_output_0	1x128x40x40	FLOAT	819200	39321600	78643200	static
748	model.23	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	Conv	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0_DequantizeLinear_Output;model.23.one2one_cv2.0.2.weight_DequantizeLinear_Output;model.23.one2one_cv2.0.2.bias	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv_output_0	1x4x80x80	FLOAT	102400	409600	819200	static
749	model.23	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv	Conv	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul_output_0_DequantizeLinear_Output;model.23.one2one_cv3.0.1.0.conv.weight_DequantizeLinear_Output;model.23.one2one_cv3.0.1.0.conv.bias	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv_output_0	1x80x80x80	FLOAT	2048000	4608000	9216000	static
753	model.19	/model.19/m.0/cv1/conv/Conv	Conv	/model.19/Split_output_1_DequantizeLinear_Output;model.19.m.0.cv1.conv.weight_DequantizeLinear_Output;model.19.m.0.cv1.conv.bias	/model.19/m.0/cv1/conv/Conv_output_0	1x32x40x40	FLOAT	204800	3276800	6553600	static
754	model.19	/model.19/m.0/cv2/conv/Conv	Conv	/model.19/Split_output_1_DequantizeLinear_Output;model.19.m.0.cv2.conv.weight_DequantizeLinear_Output;model.19.m.0.cv2.conv.bias	/model.19/m.0/cv2/conv/Conv_output_0	1x32x40x40	FLOAT	204800	3276800	6553600	static
771	model.23	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	Conv	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul_output_0_DequantizeLinear_Output;model.23.one2one_cv3.0.1.1.conv.weight_DequantizeLinear_Output;model.23.one2one_cv3.0.1.1.conv.bias	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv_output_0	1x80x80x80	FLOAT	2048000	40960000	81920000	static
774	model.19	/model.19/m.0/m/m.0/cv1/conv/Conv	Conv	/model.19/m.0/cv1/act/Mul_output_0_DequantizeLinear_Output;model.19.m.0.m.0.cv1.conv.weight_DequantizeLinear_Output;model.19.m.0.m.0.cv1.conv.bias	/model.19/m.0/m/m.0/cv1/conv/Conv_output_0	1x32x40x40	FLOAT	204800	14745600	29491200	static
785	model.23	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv	Conv	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul_output_0_DequantizeLinear_Output;model.23.one2one_cv3.0.2.weight_DequantizeLinear_Output;model.23.one2one_cv3.0.2.bias	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv_output_0	1x80x80x80	FLOAT	2048000	40960000	81920000	static
788	model.19	/model.19/m.0/m/m.0/cv2/conv/Conv	Conv	/model.19/m.0/m/m.0/cv1/act/Mul_output_0_DequantizeLinear_Output;model.19.m.0.m.0.cv2.conv.weight_DequantizeLinear_Output;model.19.m.0.m.0.cv2.conv.bias	/model.19/m.0/m/m.0/cv2/conv/Conv_output_0	1x32x40x40	FLOAT	204800	14745600	29491200	static
798	model.19	/model.19/m.0/m/m.1/cv1/conv/Conv	Conv	/model.19/m.0/m/m.0/Add_output_0_DequantizeLinear_Output;model.19.m.0.m.1.cv1.conv.weight_DequantizeLinear_Output;model.19.m.0.m.1.cv1.conv.bias	/model.19/m.0/m/m.1/cv1/conv/Conv_output_0	1x32x40x40	FLOAT	204800	14745600	29491200	static
805	model.19	/model.19/m.0/m/m.1/cv2/conv/Conv	Conv	/model.19/m.0/m/m.1/cv1/act/Mul_output_0_DequantizeLinear_Output;model.19.m.0.m.1.cv2.conv.weight_DequantizeLinear_Output;model.19.m.0.m.1.cv2.conv.bias	/model.19/m.0/m/m.1/cv2/conv/Conv_output_0	1x32x40x40	FLOAT	204800	14745600	29491200	static
