variance_lane	lane	graphwise_rank	op	variable	pyramid	branch	snr	mse	cosine	q_min	q_max	f_min	f_max	f_histogram	snr_high_error	cosine_significant_deviation	source_report
Vdraw	VDRAW	168	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul[Mul]	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul_output_0	P5	confidence	0.0827	0.1548	0.9578	-0.254	60.147	-0.278	59.836	31288,3312,134,24,12,7,5,10,2,3,2,2,3,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	169	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv[Conv]	model.23.one2one_cv3.1.0.1.conv.weight[Constant]	P4	confidence	0.0001	0.0	0.9999	-0.948	0.674	-0.945	0.676	17,0,0,17,0,34,68,0,68,17,136,136,102,306,629,1054,2312,6120,11781,6222,2975,1326,612,323,238,68,34,51,85,34,17,34	0	0	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	170	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv[Conv]	model.23.one2one_cv3.1.0.1.conv.bias[Constant]	P4	confidence	0.0	0.0003	1.0	-6.855	7.327	-6.794	7.337	1207,0,0,1003,391,0,612,425,0,0,0,1394,323,3145,1819,3298,2278,2720,2550,2278,1972,1921,1428,2584,2108,0,918,0,0,0,0,442	0	0	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	171	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv[Conv]	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv_output_0	P4	confidence	0.0822	0.2123	0.9584	-10.011	6.977	-15.020	7.162	1,2,1,2,7,8,13,19,31,54,63,70,111,145,233,281,454,585,983,1757,3012,5750,11060,7332,2175,480,135,39,8,1,3,1	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	172	/model.22/m.0/m.0.1/attn/MatMul[MatMul]	/model.22/m.0/m.0.1/attn/Transpose_output_0			0.0843	0.1423	0.9577	-5.489	5.489	-5.784	5.703	1,1,5,12,31,69,95,226,390,650,1067,1617,2234,2701,3376,3852,3805,3583,3178,2577,2021,1426,897,533,246,120,65,29,7,1,0,1	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	173	/model.22/m.0/m.0.1/attn/MatMul[MatMul]	/model.22/m.0/m.0.1/attn/Split_output_1			0.1208	0.2016	0.9389	-5.370	5.370	-5.482	6.101	5,4,13,30,52,102,246,371,659,1058,1620,2150,2870,3405,3710,3891,3733,3243,2650,2028,1300,801,444,205,115,56,29,13,7,3,2,1	1	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	174	/model.22/m.0/m.0.1/attn/MatMul[MatMul]	/model.22/m.0/m.0.1/attn/MatMul_output_0			0.0811	24.2233	0.9586	-78.585	93.993	-80.243	100.843	1,4,6,18,30,66,133,281,506,911,1484,2422,3877,5079,5289,4676,3673,2477,1494,902,536,349,203,153,111,61,43,19,7,2,2,1	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	175	/model.19/m.0/m/m.0/cv1/conv/Conv[Conv]	model.19.m.0.m.0.cv1.conv.weight[Constant]			0.0002	0.0	0.9999	-1.659	1.631	-1.653	1.642	17,0,0,17,68,34,68,85,221,442,459,748,1343,2822,4845,6732,6749,4318,2533,1258,918,442,187,255,68,17,0,51,34,17,17,51	0	0	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	176	/model.19/m.0/m/m.0/cv1/conv/Conv[Conv]	model.19.m.0.m.0.cv1.conv.bias[Constant]			0.0	0.0	1.0	-2.276	1.867	-2.276	1.866	1122,0,1989,0,0,2125,2210,0,0,2227,1190,1904,2227,2482,2346,1003,1020,2482,1054,0,2992,935,0,1343,0,833,0,1037,1292,0,0,1003	0	0	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	177	/model.19/m.0/m/m.0/cv1/conv/Conv[Conv]	/model.19/m.0/m/m.0/cv1/conv/Conv_output_0			0.081	0.0811	0.9589	-5.466	3.357	-5.788	4.642	3,9,7,21,17,31,48,95,159,275,504,835,1496,2540,3723,5171,5953,5357,3618,2299,1520,680,287,93,45,9,8,7,5,0,0,1	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	178	/model.13/m.0/cv1/conv/Conv[Conv]	/model.13/Split_output_1			0.0673	0.0248	0.9666	-0.286	4.290	-0.278	4.387	16457,4502,3005,2250,1682,1313,1035,831,633,530,441,354,305,329,256,225,173,154,105,80,56,36,26,14,10,2,2,4,2,3,0,1	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	179	/model.13/m.0/cv1/conv/Conv[Conv]	model.13.m.0.cv1.conv.weight[Constant]			0.0001	0.0	1.0	-0.605	0.571	-0.602	0.573	34,51,17,68,68,170,34,357,391,663,986,1394,1836,2397,3621,4233,5049,4318,2635,2278,1666,850,595,323,187,340,34,68,68,34,34,17	0	0	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	180	/model.13/m.0/cv1/conv/Conv[Conv]	model.13.m.0.cv1.conv.bias[Constant]			0.0	0.0	1.0	-1.233	1.356	-1.236	1.355	3332,0,1054,0,0,0,3332,2312,0,1105,0,1003,3366,0,0,3842,1870,0,0,3162,5100,1037,0,0,1292,0,952,935,0,0,0,1122	0	0	stage65b_r2_vdraw_split_s8_qdq_report.md
Vdraw	VDRAW	181	/model.13/m.0/cv1/conv/Conv[Conv]	/model.13/m.0/cv1/conv/Conv_output_0			0.0808	0.0307	0.9588	-2.861	2.498	-2.862	2.908	1,0,7,13,33,74,114,202,376,668,1118,1608,2199,2844,3425,3707,3685,3687,3601,3314,2097,1115,535,233,103,43,7,6,0,0,0,1	0	1	stage65b_r2_vdraw_split_s8_qdq_report.md
