id	name	rank	shape	dim0	dim1	dim2	dim3	logical_elements	storage_bytes	layout	scale	scale_bits	zero_point	dtype	first_op	last_op	arena_offset
39	/model.6/Concat_output_0_QuantizeLinear_Output	4	1x192x40x40	1	192	40	40	307200	307200	NCHWc8_SPATIAL_INNER_V1	0.038419272750616074	0x3d1d5d87	7	uint8	42	43	0
40	/model.6/cv2/conv/Conv_output_0_QuantizeLinear_Output	4	1x128x40x40	1	128	40	40	204800	204800	NCHWc8_SPATIAL_INNER_V1	0.061128184199333191	0x3d7a618c	142	uint8	43	44	409600
41	/model.6/cv2/act/Mul_output_0_QuantizeLinear_Output	4	1x128x40x40	1	128	40	40	204800	204800	NCHWc8_SPATIAL_INNER_V1	0.028037777170538902	0x3ce5af7b	10	uint8	44	89	2867200
42	/model.7/conv/Conv_output_0_QuantizeLinear_Output	4	1x256x20x20	1	256	20	20	102400	102400	NCHWc8_SPATIAL_INNER_V1	0.075696587562561035	0x3d9b06d0	144	uint8	45	46	307200
43	/model.7/act/Mul_output_0_QuantizeLinear_Output	4	1x256x20x20	1	256	20	20	102400	102400	NCHWc8_SPATIAL_INNER_V1	0.034168541431427002	0x3d0bf450	8	uint8	46	47	716800
44	/model.8/cv1/conv/Conv_output_0_QuantizeLinear_Output	4	1x256x20x20	1	256	20	20	102400	102400	NCHWc8_SPATIAL_INNER_V1	0.076210573315620422	0x3d9c144a	122	uint8	47	62	307200
45	/model.8/Split_output_1_QuantizeLinear_Output	4	1x128x20x20	1	128	20	20	51200	51200	NCHWc8_SPATIAL_INNER_V1	0.037084359675645828	0x3d17e5c5	8	uint8	48	62	614400
46	/model.8/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	4	1x64x20x20	1	64	20	20	25600	25600	NCHWc8_SPATIAL_INNER_V1	0.078175202012062073	0x3da01a52	153	uint8	49	51	665600
47	/model.8/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	4	1x64x20x20	1	64	20	20	25600	25600	NCHWc8_SPATIAL_INNER_V1	0.096425510942935944	0x3dc57abd	127	uint8	50	60	691200
48	/model.8/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	4	1x64x20x20	1	64	20	20	25600	25600	NCHWc8_SPATIAL_INNER_V1	0.032495331019163132	0x3d0519d3	9	uint8	51	55	3174400
49	/model.8/m.0/m/m.0/cv1/conv/Conv_output_0_QuantizeLinear_Output	4	1x64x20x20	1	64	20	20	25600	25600	NCHWc8_SPATIAL_INNER_V1	0.095939099788665771	0x3dc47bb8	120	uint8	52	53	665600
50	/model.8/m.0/m/m.0/cv1/act/Mul_output_0_QuantizeLinear_Output	4	1x64x20x20	1	64	20	20	25600	25600	NCHWc8_SPATIAL_INNER_V1	0.0519237220287323	0x3d54adf8	5	uint8	53	54	3200000
51	/model.8/m.0/m/m.0/cv2/conv/Conv_output_0_QuantizeLinear_Output	4	1x64x20x20	1	64	20	20	25600	25600	NCHWc8_SPATIAL_INNER_V1	0.090949535369873047	0x3dba43c0	115	uint8	54	55	665600
52	/model.8/m.0/m/m.0/Add_output_0_QuantizeLinear_Output	4	1x64x20x20	1	64	20	20	25600	25600	NCHWc8_SPATIAL_INNER_V1	0.054633613675832748	0x3d5fc77f	10	uint8	55	59	3200000
53	/model.8/m.0/m/m.1/cv1/conv/Conv_output_0_QuantizeLinear_Output	4	1x64x20x20	1	64	20	20	25600	25600	NCHWc8_SPATIAL_INNER_V1	0.099580615758895874	0x3dcbf0ec	94	uint8	56	57	665600
54	/model.8/m.0/m/m.1/cv1/act/Mul_output_0_QuantizeLinear_Output	4	1x64x20x20	1	64	20	20	25600	25600	NCHWc8_SPATIAL_INNER_V1	0.064043141901493073	0x3d83290d	4	uint8	57	58	3174400
55	/model.8/m.0/m/m.1/cv2/conv/Conv_output_0_QuantizeLinear_Output	4	1x64x20x20	1	64	20	20	25600	25600	NCHWc8_SPATIAL_INNER_V1	0.13001835346221924	0x3e052388	132	uint8	58	59	665600
56	/model.8/m.0/Concat_output_0_QuantizeLinear_Output	4	1x128x20x20	1	128	20	20	51200	51200	NCHWc8_SPATIAL_INNER_V1	0.089061781764030457	0x3db66606	9	uint8	60	61	3225600
57	/model.8/m.0/cv3/conv/Conv_output_0_QuantizeLinear_Output	4	1x128x20x20	1	128	20	20	51200	51200	NCHWc8_SPATIAL_INNER_V1	0.08362184464931488	0x3dab41ee	121	uint8	61	62	716800
58	/model.8/Concat_output_0_QuantizeLinear_Output	4	1x384x20x20	1	384	20	20	153600	153600	NCHWc8_SPATIAL_INNER_V1	0.045013688504695892	0x3d386046	6	uint8	62	63	409600
59	/model.8/cv2/conv/Conv_output_0_QuantizeLinear_Output	4	1x256x20x20	1	256	20	20	102400	102400	NCHWc8_SPATIAL_INNER_V1	0.071746848523616791	0x3d92f003	143	uint8	63	64	307200
60	/model.8/cv2/act/Mul_output_0_QuantizeLinear_Output	4	1x256x20x20	1	256	20	20	102400	102400	NCHWc8_SPATIAL_INNER_V1	0.032615300267934799	0x3d05979f	9	uint8	64	68	1433600
61	/model.9/cv1/conv/Conv_output_0_QuantizeLinear_Output	4	1x128x20x20	1	128	20	20	51200	51200	NCHWc8_SPATIAL_INNER_V1	0.059507742524147034	0x3d73be64	131	uint8	65	66	563200
62	/model.9/Concat_output_0_QuantizeLinear_Output	4	1x512x20x20	1	512	20	20	204800	204800	NCHWc8_SPATIAL_INNER_V1	0.059507742524147034	0x3d73be64	131	uint8	66	67	0
63	/model.9/cv2/conv/Conv_output_0_QuantizeLinear_Output	4	1x256x20x20	1	256	20	20	102400	102400	NCHWc8_SPATIAL_INNER_V1	0.094948738813400269	0x3dc2747c	147	uint8	67	68	204800
