index	observation	kind	name	model	wall_us	measurement
169	3	lut1	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0_QuantizeLinear	23	81.834	single instrumented diagnostic
170	3	lut1	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/act/Mul_output_0_QuantizeLinear	23	107.167	single instrumented diagnostic
172	3	conv_dense	/model.23/one2one_cv2.1/one2one_cv2.1.2/Conv	23	115.25	single instrumented diagnostic
173	3	conv_grouped	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/conv/Conv	23	8376.748	single instrumented diagnostic
175	3	lut1	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.0/act/Mul_output_0_QuantizeLinear	23	127.459	single instrumented diagnostic
177	3	conv_dense	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/conv/Conv	23	1020.922	single instrumented diagnostic
179	3	lut1	/model.23/one2one_cv3.1/one2one_cv3.1.1/one2one_cv3.1.1.1/act/Mul_output_0_QuantizeLinear	23	104.125	single instrumented diagnostic
181	3	conv_dense	/model.23/one2one_cv3.1/one2one_cv3.1.2/Conv	23	1041.505	single instrumented diagnostic
201	3	conv_dense	/model.23/one2one_cv2.2/one2one_cv2.2.0/conv/Conv	23	728.128	single instrumented diagnostic
202	3	conv_grouped	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/conv/Conv	23	6636.781	single instrumented diagnostic
203	3	lut1	/model.23/one2one_cv2.2/one2one_cv2.2.0/act/Mul_output_0_QuantizeLinear	23	81.625	single instrumented diagnostic
204	3	lut1	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.0/act/Mul_output_0_QuantizeLinear	23	93.376	single instrumented diagnostic
205	3	conv_dense	/model.23/one2one_cv2.2/one2one_cv2.2.1/conv/Conv	23	131.542	single instrumented diagnostic
206	3	conv_dense	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/conv/Conv	23	394.835	single instrumented diagnostic
207	3	lut1	/model.23/one2one_cv2.2/one2one_cv2.2.1/act/Mul_output_0_QuantizeLinear	23	78.5	single instrumented diagnostic
208	3	lut1	/model.23/one2one_cv3.2/one2one_cv3.2.0/one2one_cv3.2.0.1/act/Mul_output_0_QuantizeLinear	23	69.583	single instrumented diagnostic
209	3	conv_dense	/model.23/one2one_cv2.2/one2one_cv2.2.2/Conv	23	68.876	single instrumented diagnostic
210	3	conv_grouped	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/conv/Conv	23	2083.427	single instrumented diagnostic
211	3	lut1	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.0/act/Mul_output_0_QuantizeLinear	23	67.542	single instrumented diagnostic
212	3	conv_dense	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/conv/Conv	23	293.21	single instrumented diagnostic
213	3	lut1	/model.23/one2one_cv3.2/one2one_cv3.2.1/one2one_cv3.2.1.1/act/Mul_output_0_QuantizeLinear	23	67.876	single instrumented diagnostic
214	3	conv_dense	/model.23/one2one_cv3.2/one2one_cv3.2.2/Conv	23	301.959	single instrumented diagnostic
127	4	conv_dense	/model.23/one2one_cv2.0/one2one_cv2.0.0/conv/Conv	23	2750.263	single instrumented diagnostic
128	4	conv_grouped	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/conv/Conv	23	27030.835	single instrumented diagnostic
129	4	lut1	/model.23/one2one_cv2.0/one2one_cv2.0.0/act/Mul_output_0_QuantizeLinear	23	159.334	single instrumented diagnostic
130	4	lut1	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.0/act/Mul_output_0_QuantizeLinear	23	280.626	single instrumented diagnostic
132	4	conv_dense	/model.23/one2one_cv2.0/one2one_cv2.0.1/conv/Conv	23	1164.839	single instrumented diagnostic
133	4	conv_dense	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/conv/Conv	23	4174.228	single instrumented diagnostic
135	4	lut1	/model.23/one2one_cv2.0/one2one_cv2.0.1/act/Mul_output_0_QuantizeLinear	23	145.625	single instrumented diagnostic
136	4	lut1	/model.23/one2one_cv3.0/one2one_cv3.0.0/one2one_cv3.0.0.1/act/Mul_output_0_QuantizeLinear	23	336.002	single instrumented diagnostic
138	4	conv_dense	/model.23/one2one_cv2.0/one2one_cv2.0.2/Conv	23	289.459	single instrumented diagnostic
139	4	conv_grouped	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/conv/Conv	23	34038.326	single instrumented diagnostic
142	4	lut1	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.0/act/Mul_output_0_QuantizeLinear	23	332.252	single instrumented diagnostic
144	4	conv_dense	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/conv/Conv	23	4127.936	single instrumented diagnostic
146	4	lut1	/model.23/one2one_cv3.0/one2one_cv3.0.1/one2one_cv3.0.1.1/act/Mul_output_0_QuantizeLinear	23	312.001	single instrumented diagnostic
148	4	conv_dense	/model.23/one2one_cv3.0/one2one_cv3.0.2/Conv	23	4192.436	single instrumented diagnostic
161	4	conv_dense	/model.23/one2one_cv2.1/one2one_cv2.1.0/conv/Conv	23	1362.006	single instrumented diagnostic
162	4	conv_grouped	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/conv/Conv	23	13506.23	single instrumented diagnostic
163	4	lut1	/model.23/one2one_cv2.1/one2one_cv2.1.0/act/Mul_output_0_QuantizeLinear	23	96.792	single instrumented diagnostic
164	4	lut1	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.0/act/Mul_output_0_QuantizeLinear	23	159.75	single instrumented diagnostic
166	4	conv_dense	/model.23/one2one_cv2.1/one2one_cv2.1.1/conv/Conv	23	349.46	single instrumented diagnostic
167	4	conv_dense	/model.23/one2one_cv3.1/one2one_cv3.1.0/one2one_cv3.1.0.1/conv/Conv	23	1192.464	single instrumented diagnostic
169	4	lut1	/model.23/one2one_cv2.1/one2one_cv2.1.1/act/Mul_output_0_QuantizeLinear	23	81.167	single instrumented diagnostic
